1. line;1. линия
long thin mark;длинная тонкая отметка
score;зарубка, черта
stripe;полоса
dash;черта, тире
slash;прорезь
outline;контур
contour;контур
profile;профиль
2. file;2. ряд, колонна
line;линия
queue;очередь
rank;шеренга
row;ряд
string;вереница, ряд
chain;цепочка
tier;ряд, ярус
3. strip;3. полоса
ribbon;лента
band;полоса
stripe;полоса
slip;узкая полоса
streak;полоска
4. string;4. вереница, ряд
row;ряд
chain;цепь, цепочка
file;колонна, ряд
procession;процессия
succession;цепь, последовательность
line;линия
column;колонна
series;серия
queue;ряд, очередь
5. tier;5. ряд, ярус
row;ряд
rank;шеренга
line;линия
file;колонна, ряд
store;этаж
level;уровень
stratum;слой, пласт
range;ряд, линия
6. verge;6. край, кромка
edge;край, кромка
border;край, бордюр
brink;край, кромка
margin;край, грань, берег
rim;край, обод
brim;край, кромка
hem;кайма, кромка
limit;предел
threshold;порог
bound;предел, граница
end;край, конец
frontier;граница
ledge;край, борт
7. level;7. уровень
height;высота
elevation;высота, уровень
vertical position;положение по вертикали
plane;уровень (развития знаний)
8. border;8. граница
boundary;граница
frontier;граница
edge;край
rim;край, обод
perimeter;периферия
circumference;периметр
extremity;окружность
verge;оконечность
margin;край
brim;край, грань
brink;край, кромка
curb;край
hem;бордюр
limit;кайма, кромка
9. brink;9. кромка, край
edge;край, кромка, грань
margin;край, грань
rim;край, обод
brim;край
verge;край
border;граница, предел
threshold;порог
point;точка
10. rut;10. колея
deep track;глубокий след, колея
trough;желоб
groove;паз
cut;вырез
furrow;борозда
ditch;канава
trench;канава
channel;канал
