1. structure;1. структура
composition;композиция, состав
arrangement;расположение
plan;план
form;форма
make-up;состав, структура
configuration;конфигурация
conformation;форма, структура
framework;каркас
build;сложение
figure;фигура
texture;структура
2. component;2. компонент
constituent;составная часть
ingredient;ингредиент
module;модуль
member;элемент конструкции
element;элемент
part;часть
segment;сектор, часть, сегмент
piece;деталь
item;деталь, позиция
detail;деталь
particular;подробность, деталь
3. base;3. база, основание
foundation;фундамент
bottom;дно
ground;основание, грунт
bed;основание, станина
support;опора
pedestal;база, основание
4. keystone;4. краеугольный камень
basis;база
base;база, основание
cornerstone;краеугольный камень
root;корень
foundation;фундамент
5. frame;5. каркас
mounting;оправа
case;кожух, корпус
setting;оправа
skeleton;скелет
structure;структура
body;корпус
chassis;шасси, рама
6. staple;6. основная часть
basic item;основная часть
feature;основная характеристика
fundamental;основной компонент
component;основной компонент
product;изделие
merchandise;товар
7. front;7. передняя часть, фасад
face;фасад, лицевая часть
facade;фасад
frontage;фасад
8. rear;8. тыл, зад
back;задняя сторона, зад
end;край
tail end;задний край
heel;пятка, задняя часть
stern;корма
hind part;задняя часть
9. side;9. бок, сторона
flank;бок, фланг
lateral;боковая поверхность
surface;поверхность
flat surface;плоская поверхность
10. top;10. верх
upper surface;верхняя поверхность
upper part;верхняя часть
highest point;высшая точка
summit;вершина
lid;крышка
cover;крышка
11. shell;11. оболочка, скорлупа, шелуха
case;футляр
hull;скорлупа, шелуха
husk;шелуха
shuck;шелуха
pod;стручок
carapace;щиток черепахи и раков
12. sheath;12. ножны/футляр
sheathing;оболочка
wrapper;оболочка, обертка
envelope;конверт
container;емкость
receptacle;емкость
jacket;рубашка
coating;покрытие
case;футляр
capsule;капсула, оболочка
screen;экран
housing;кожух, футляр
13. knot;13. узел
interlacement;переплетение
twist;скручивание
loop;петля
plait;коса (волос)
hitch;петля, узел
14. lattice;14. решетка
network;сеть
grille;решетка
fretwork;решетка
grating;решетка
reticulum;сетчатка
framework;каркас
grid;решетка
grate;решетка
trellis;решетка
15. spiral;15. спираль
helix;спираль, винтовая линия
screw;винт
coil;катушка, соленоид
curl;завиток, спираль
