1. chip;1. щепка, обломок
small piece;маленький кусочек
fragment;обломок
scrap;клочок, лоскуток
sliver;щепка, прядь (шерсти)
chunk;кусок, ломоть
shaving;стружка
splinter;осколок, щепа
shred;клочок, кусок
slice;кусок
flake;снежинка, хлопья
crumb;крошка
morsel;кусочек
bit;кусочек
snatch;обрывок
lump;кусок
clod;ком, глыба
pellet;таблетка
globe;.шар
drop;капля
2. sheet;2. лист
panel;панель
leaf;лист
plate;пластина, лист
pane;лист стекла
foil;фольга
slip;листок, бланк
strap;полоска
3. heap;3. куча, груда
pile;куча, груда
mass;масса
mound;насыпь, холм
bundle;пучок
batch;куча
accumulation;скопление
gathering;скопление
agglomeration;скопление
stack;куча, груда
4. hump;4. горб, выступ
hunch;горб
bulge;выпуклость, горб
bump;выпуклость, шишка
mound;холм
rise;возвышение
swelling;выпуклость, опухоль
convexity;выпуклость
projection;выступ
knob;выпуклость, шишка
knurl;шишка, выпуклость
node;нарост, утолщение
5. crease;5. складка, загиб
fold;складка
wrinkle;морщина, складка
crinkle;складка, морщина
rumple;складка
pucker;морщина, складка
corrugation;складка, морщина
furrow;глубокая морщина
6. crevice;6. трещина
fissure;трещина
crack;трещина
cleft;трещина
split;трещина
breach;пролом
rent;трещина
chasm;глубокая расселина
7. groove;7. канавка, паз
rut;колея
furrow;борозда
trench;канава
score;насечка
cut;прорезь
flute;выемка
notch;надрез
pocket;карман, выемка
nick;зарубка, трещина
8. stick;8. палка
cane;трость
staff;палка
wand;палочка
rod;прут
club;дубинка
cudgel;дубинка
pole;шест
shaft;вал, древко
stake;кол, столб
9. hook;9. крючок
crook;крючок
grapple;крюк
grapnel;крюк
gaff;багор
10. dot;10. точка, пятнышко.
mark;отметка, метка
speck;точка
small spot;маленькое пятно
point;точка
mote;пятнышко
intersection;пересечение (точка)
focus;фокус
11. speck;11. частичка, крупинка
particle;частичка
grain;зерно
mote;пылинка
bit;кусочек
dot;крошечная вещь
drop;капля
scintilla;искра
jot;йота
hair;волосок
