1. time;1. время
duration;длительность
continuation;продолжительность
period;период
interval;промежуток времени, пауза
span of time;отрезок времени
elapsed time;истекшее время
spell;короткое время
term;срок, продолжительность
while;промежуток времени
stretch;промежуток времени
epoch;эпоха
era;эра
age;век
stage;фаза, период, этап
season;сезон
while;цикл
trice;миг
instant;мгновение
moment;момент
hour;час
quarter;четверть часа
day;день/сутки
week;неделя
month;месяц
year;год
season;время года (3 месяца)
term;семестр
decade;декада/десятилетие
century;столетие
