1. cycle;1. цикл
series;серия
sequence;последовательность
succession;последовательность
run;период времени
2. stage;2. фаза, период
period;период
phase;фаза
level;уровень/этап
step;шаг/этап
grade;стадия/класс
degree;степень
point of development;точка развития
3. present;3. настоящее время
now;сейчас, теперешнее время
nowadays;наши дни
today;сегодня
the time;настоящее время
the moment;данный момент
4. past;4. прошлое
days gone;минувшие дни
yesteryear;прошедший год
former times;былые времена
previous times;прошедшие времена
ancient times;давние времена
antiquity;античность
history;история
5. future;5. будущее
tomorrow;завтра
time to come;грядущее время
futurity;будущее
offing;недалекое будущее
6. start;6. начало
beginning;начало
outset;начало
commencement;начало
first step;первый шаг
opening;открытие
inauguration;торжественное открытие
birth;рождение
creation;создание
initiation;основание, введение
outbreak;внезапное начало
foundation;основание
inception;начало
7. continuation;7. продолжение
continuance;продолжение
extension;продление
prolongation;продление
protraction;промедление
continuity;непрерывность, последовательность
flow;поток (событий)
succession;последовательность
chain;цепь (событий)
sequel;продолжение, последующее событие
subsequent event;последующее событие
consequence;последствие
8. repetition;8. повторение
repeat;повтор
recapitulation;повторение
reiteration;повтор
restatement;повторное заявление
9. extension;9. продление
continuation;продолжение
lengthening;продление
prolongation;продление
delay;задержка, продление
postponement;откладывание
put-off;отсрочка
10. interruption;10. прерывание
halt;остановка, приостановка
interval;интервал, пауза
pause;пауза
stop;остановка
discontinuity;прерывность
disconnection;разъединение
break;прерывание
intermission;перерыв, пауза
recess;перерыв
cessation;перерыв, прекращение
11. end;11. конец
conclusion;завершение
ending;завершение
termination;окончание
close;завершение, закрытие
finish;конец
expiration;истечение
cessation;прекращение
completion;завершение
outcome;исход
result;результат
consequence;следствие
settlement;улаживание
