1. sunrise;1. восход солнца
dawn;рассвет, утренняя заря
daybreak;рассвет
aurora;утренняя заря
sun-up;восход солнца
sunlight;солнечный свет
sunshine;солнечный свет
2. noon;2. полдень
midday;полдень
twelve o'clock;12 часов
noonday;полдень
noontime;полдень
lunchtime;полдень
3. evening;3. вечер
sundown;заход солнца
sunset;заход солнца
twilight;сумерки
dusk;сумерки
day's end;конец дня
eventide;вечер
nightfall;наступление ночи
4. night;4. ночь
night-time;ночное время
darkness;темнота
bedtime;время сна
dusk;сумерки
nightfall;наступление ночи
small hours;время за полночь
midnight;полночь
