1. leisure;1. досуг, свободное время
free time;свободное время
day-off;выходной
holiday;выходной, праздник
idle hours;свободное время
periods of relaxation;время отдыха
relaxation;отдых
ease;досуг
recreation;отдых
respite;передышка
rest;отдых
vacation;каникулы
diversion;развлечение
recess;перерыв, каникулы
2. sleep;2. сон
doze;дремота
slumber;сон, дремота
nap;дремота, короткий сон
snooze;короткий сон (днем)
bed rest;отдых в кровати
3. pastime;3. развлечение
diversion;развлечение
hobby;хобби
amusement;развлечение, забава
entertainment;развлечение
recreation;развлечение, отдых
relaxation;отдых
distraction;развлечение
divertissement;веселье, развлечение
fun;веселье
good time;приятное времяпровождение
pleasure;удовольствие
enjoyment;радость, удовольствие
satisfaction;удовлетворение
4. holiday;4. праздник, день отдыха
feast day;праздник
festival;праздник
fete;праздник
celebration;празднование
jubilee;юбилей
anniversary;юбилей
gala;праздник
spree;пирушка, гулянье
orgy;оргия, вакханалия
revelry;пирушка, шумное веселье
5. excursion;5. экскурсия
outing;экскурсия
trip;пешеходная прогулка
short journey;короткое путешествие
tour;тур, путешествие
hike;путешествие пешком
tramp;долгое путешествие пешком
sightseeing;осмотр достопримечательностей
march;марш, переход
