1. dwelling;1. жилище
house;дом
home;дом
residence;местожительства
abode;жилище
domicile;постоянное местожительство
shelter;кров, крыша над головой
lodging;жилище
lodgement;жилище
flat;квартира
apartment;квартира
seat;местонахождение
accommodation;жилье
quarters;жилище, квартира
mansion;особняк
palace;дворец
castle;замок
housing;укрытие, убежище
building;здание
hovel;лачуга, хибарка
hut;хижина
cabin;домик, коттедж
2. address;2. адрес
street, number, city and state;улица, номер дома, город, государство
mailing address;почтовый адрес
postal address;почтовый адрес
place of residence;местожительство
location;расположение
3. yard;3. двор
grounds;участок земли
enclosure;огражденное место, ограда
courtyard;двор
court;двор
garden;садик (во дворе)
lawn;газон
compound;огороженная территория (вокруг фабрики)
4. fence;4. забор
protective enclosure;ограждение
palisade;палисад, забор
paling;забор, частокол
rail;ограда
stockade;частокол
wall;стена
hedge;ограда из кустарника
5. gate;5. калитка, ворота
enclosure door;дверь в ограде
entrance;вход
opening through a fence;калитка
portal;ворота, главный вход
door;дверь
