1. layout;1. планировка, план
design;план, конструкция
plan;план
model;модель
diagram;схема
sketch;эскиз
drawing;чертеж
arrangement;устройство
structure;устройство
form;форма
outline;схема, план
2. entrance;2. вход
entry;вход
way in;вход
access;подход, проход
door;дверь
portal;портал, главный подъезд
3. floor;3. пол
bottom surface;дно/пол/грунт
bottom;пол
flooring;пол, настил
ground;грунт, пол
pavement;настил, пол
parquet;паркет
parquetry;паркет
linoleum;линолеум
4. conveniences;4. удобства
comfort;комфорт
accommodation;удобства
facility;приспособления, удобства
appliance;приспособление
utility;коммунальные услуги
5. latch;5. запор, замок
lock;замок
catch;защелка, щеколда
bolt;засов
padlock;навесной замок
bar;засов
6. furnace;6. печь, очаг
oven;духовка
stove;печь
range;кухонная плита
hearth;очаг
fireplace;камин
central heating;центральное отопление
boiler;бойлер, котельное отопление
7. tap;7. кран (водопроводный)
faucet;кран
cock;кран (запорный)
valve;клапан, кран
spout;выпускное отверстие
