1. furniture;1. мебель
household goods;домашняя обстановка, мебель
house fittings;оснастка дома
movables;движимое имущество
chattels;движимое имущество
appointments;оборудование, мебель
furnishings;обстановка, меблировка
household;домашние вещи
2. bed;2. кровать
bedstead;кровать
bunk;койка
berth;койка, спальное место
cot;койка, детская кровать
pallet;убогое ложе
cradle;люлька, колыбель
3. bench;3. лавка, скамейка
seat;сиденье
settee;диван
rigid couch;жесткий диван
stool;табуретка
couch;кушетка
sofa;диван
armchair;кресло
4. cupboard;4. посудный шкаф
kitchen cabinet;кухонный шкаф
cabinet;шкафчик
closet;стенной шкаф
buffet;сервант, буфет
sideboard;буфет, сервант
