1. material;1. материал
substance;вещество
stuff;вещество
matter;материя, вещество
ingredient;компонент
element;элемент
constituent;компонент
component;компонент
2. compound;2. смесь
composition;смесь, состав/соединение
composite;смесь
conglomeration;конгломерат, смесь
blend;смесь
mixture;смесь
alloy;сплав
amalgam;смесь
3. consistence;3. консистенция
texture;структура, плотность
viscosity;вязкость
density;густота, плотность
thickness;вязкость, густота
firmness;твердость
stiffness;жесткость
4. liquid;4. жидкость
fluid;жидкость/газ
solution;раствор
fusion;расплав
5. slime;5. слизь
mire;грязь
sludge;грязь, ил
ooze;ил
slurry;жидкое цементное тесто/глина
6. sediment;6. осадок, отстой
settings;осадок
lees;осадок
grounds;гуща, осадок
dregs;осадок (химический)
precipitation;осадок
7. froth;7. пена
foam;пена
spume;пена
scum;пена, накипь
bubbles;пузырьки
8. gas;8. газ
gaseous mixture;смесь газов
fume;дым
smoke;дым
haze;дымка, испарение
vapour;пар
9. powder;9. порошок, пыль
flour;мука
dust;пыль
meal;мука
mote;пылинка
pulverized substance;измельченное в порошок вещество
ground material;молотый материал
sand;песок
soot;сажа
cinder;пепел
