1. waste;1. отходы
refuse;отбросы, отходы
garbage;мусор
trash;отбросы,хлам
rubbish;мусор
litter;мусор, сор
excrement;экскремент, испражнение
scrap;лом, скрап, остатки
discard;брак
reject;забракованное изделие
cull;отбросы
cinder;пепел
dross;отбросы/окалина
filth;отбросы, грязь
offal;отбросы
2. dirt;2. грязь
mud;грязь
mire;болото, грязь
dust;пыль
filth;грязь, отбросы
impurity;загрязнения
trash;мусор
muck;навоз, грязь, дрянь
soot;сажа
grime;грязь (въевшаяся)
slop;жидкая грязь, слякоть
soil;грязь
dregs;гуща, отбросы
3. smoke;3. дым, копоть
fumes;дымы
sooty exhalation;пары с сажей
smog;смог
4. rust;4. ржавчина
corrosion;коррозия
oxidation;окисление, ржавчина
stain;пятно ржавчины
decay;разрушение, распад
