1. man;1. человек
mankind;человечество
the human;человек
human being;человек
people;люди
humanity;человечество
2. person;2. человек, личность
individual;человек, индивидуум
human being;человек
personality;личность, персона
3. sex;3. пол
gender;пол (род)
masculinity;мужской пол
maleness;мужской пол
femininity;женский пол
femaleness;женский пол
male;мужской пол
female;женский пол
man;мужчина
woman;женщина
boy;мальчик
girl;девочка
4. age;4. возраст
lifetime;продолжительность жизни
baby;младенец
child;ребенок
infant;младенец, ребенок
girl;девочка
boy;мальчик
kid;ребенок
lass;девушка
lad;парень
juvenile;юноша, подросток
maiden;девушка
man;мужчина
woman;женщина
maturity;зрелость
grown up;взрослый
adult;взрослый
old age;старость
advanced;пожилой возраст
old man;старик
old woman;старуха
