1. flesh;1. мясо, тело
meat;мясо
muscle;мышца
brawn;мускулы
muscular tissue;мышечная ткань
2. hair;2. волос
tress;распущенные волосы, коса
plait;коса волос
haircut;стрижка/фасон
bob;короткая стрижка
locks;локоны
curls;локоны
bang;челка
beard;борода
moustache;усы
3. limb;3. член тела
member;член тела
arm;рука
leg;нога
4. spine;4. позвоночник
backbone;позвоночник
vertebral column;позвоночный столб
spinal column;позвоночник
vertebrae;позвонки
5. belly;5. живот
stomach;желудок
tummy;животик
abdomen;живот
paunch;живот, пузо
6. face;6. лицо
countenance;выражение лица
visage;выражение лица, лицо
features;черты лица
physiognomy;физиономия, лицо
mug;харя
kisser;личико
7. bowels;7. кишечник
guts;кишечник
intestines;внутренности
entrails;кишки
vitals;жизненноважные органы
viscera;внутренности, кишки
