1. hearth;1. домашний очаг
home;домашняя обстановка
abode;жилище
household;домашнее хозяйство
family life;семейная жизнь
family circle;семейный круг
2. family;2. семья
parents and children;родители и дети
relatives;родственники
kin;родня
3. husband;3. муж
spouse;супруг, супруга
mate;супруг, супруга
hubby;муженек
man;муж
consort;супруг, супруга
4. wife;4. жена
spouse;супруг, супруга
consort;супруг, супруга
marriage partner;супруга
mate;супруг, супруга
rib;жена (шутливо)
5. couple;5. супружеская пара
man and wife;муж и жена
husband and wife;муж и жена
married pair;супружеская пара
engaged pair;супружеская пара
6. marriage;6. бракосочетание
matrimony;бракосочетание
wedlock;брачные узы
nuptial state;супружество
conjugal union;брачный союз
connubial state;супружество
wedding;свадьба
7. divorce;7. развод
separation;развод
rapture;разрыв (отношений)
breach;разрыв отношений
nullification of wedlock;развод
8. parentage;8. происхождение, родословия
ancestry;предки
antecedents;предки
forbears;предки
genealogy;генеалогия
ancestors;предки
lineage;генеалогия
descent;происхождение
origin;происхождение
derivation;происхождение
roots;корни
pedigree;родословная, происхождение
9. posterity;9. потомство
offspring;потомок
descendants;потомки
future generations;будущие поколения
heirs;наследники
progeny;потомки, потомство
issue;потомство
10. clan;10. клан
family group;семейная группа
house;дом (род)
dynasty;династия
lineage;генеалогия
strain;род, племя
kin;родня
my folks;родня
11. relation;11. связь
connection;связь
ties;узы
link;связь
relative;родственник
bonds;узы
affinity;родственность
12. friend;12. друг
comrade;товарищ
acquaintance;знакомый
companion;компаньон
chum;приятель
confidant;близкий друг
partner;партнер
buddy;приятель
pal;приятель
crony;закадычный друг
mate;товарищ
playmate;товарищ
fellow;товарищ
colleague;коллега
lover;люболник
mistress;любовница
suitor;ухажер
sweetheart;возлюбленный, возлюбленная
13. helper;13. помощник
assistant;помощник
aid;помощник
subordinate;подчиненный
partner;партнер
colleague;коллега
collaborator;сотрудник
confederate;сообщник
accomplice;сообщник
14. sweetheart;14. возлюбленный, возлюбленная
love;любимый, любимая
beloved;любимый
dear;дорогой, дорогая
lover;любовник
friend;друг
boyfriend;друг
girlfriend;девушжа, подруга
woman;женщина
mistress;любовница
15. superior;15. начальник
chief;шеф
supervisor;началь ник, инспектор
leader;руководитель
head;начальник
senior;старший (по чину)
commander;командир
manager;управляющий
16. tenant;16. квартиросъемщик, квартирант
renter;квартирант, арендатор
lodger;жилец, квартирант
dweller;житель
occupant;арендатор, квартирант
leaseholder;арендатор, съемщик
