1. personality;1. личн ость, характер
disposition;характер
temperament;темперамент
nature;натура
individuality;индивидуальность
distinctiveness;отличительные черты
make-up;натура, склад
mentality;склад ума, умонастроение
2. genius;2. гений
mental giant;гигант мысли
brilliant intellect;блестящий ум
prodigy;одаренный человек
child prodigy;вундеркинд
natural talent;природный талант
gift;природный дар
natural endowment;одаренность
3. ingenuity;3. изобретательность, мастерство
knack;уменье
intuition;интуиция
cleverness;сообразительность, ловкость
skill;уменье, мастерство
skilfulness;мастерство
inventiveness;изобретательность
resourcefulness;находчивость
aptitude;способности
know-how;уменье
dexterity;проворность
flair;чутье
mastery;мастерство
4. initiative;4. инициатива
enterprise;предприимчивость
leadership;лидерство
originality;оригинальность
creativity;творческий подход
5. merit;5. достоинство
values;достоинство
worth;ценность
desert;заслуга
virtue;достоинство
advantage;преимущество, достоинство
credit;влияние, репутация
quality;хорошее качество, свойство
ability;способность
benefit;выгода, польза
6. idealist;6. идеалист
persistent optimist;стойкий оптимист
perfectionist;максималист
romantic;романтик
dreamer;мечтатель
visionary;мечтатель, фантазер
7. incantation;7. чары, очарование
charm;очарование
spell;чары, очарование
sorcery;колдовство
magic;магия
wizardry;колдовство
8. integrity;8. честность, неподкупность
honesty;честность
probity;честность, неподкупность
uprightness;прямота, честность
moral soundness;моральное здоровье
character;сильный характер
purity;нравственная чистота
rectitude;прямота
veracity;правдивость
truthfulness;правдивость
candour;искренность, чистосердечность
sincerity;искренность
frankness;честность, откровенность
openness;откровенность
ingenuousness;бесхитростность
guilelessness;бесхитростность
veracity;правдивость
9. valour;9. мужество
bravery;мужество
courage;храбрость
dauntlessness;бесстрашие
intrepidity;бесстрашие
fearlessness;бесстрашие
heroism;героизм
boldness;смелость
daring;отвага
fortitude;стойкость
mettle;храбрость
spunk;храбрость
nerve;храбрость
pluck;отвага, смелость
grit;твердость характера
character;твердость характера
prowess;доблесть
stamina;стойкость
hardiness;смелость, дерзость
10. strength;10. сила
power;мощь
vigour;сила, энергия
muscles;мышцы
hardiness;крепость, выносливость
force;сила
brawn;физическая сила, мышцы
robustness;крепость, сила
sturdiness;сила, здоровье
11. femininity;11. женственность
womanliness;женственность
female quality;женственность
femaleness;женственность
feminineness;женственность
softness;мягкость
gentleness;мягкость
12. temperament;12. темперамент
mood;настроение, расположение духа
temper;характер, нрав
nature;натура, характер
disposition;расположение духа
frame of mind;настроение
character;характер
personality;качества характера
spirit;дух, характер
soul;душа
humour;нрав, настроение
13. continence;13. воздержанность, умеренность
self-restraint;самоограничение
forbearance;воздержанность
abstinence;воздержание
moderation;умеренность
temperance;умеренность, воздержание
frugality;умеренность
14. tolerance;14. терпимость
an understanding attitude;понимание
fair treatment;беспристрастное обхождение
lack of prejudice;отсутствие предвзятости
forbearance;терпимость, снисходительность
patience;терпеливость
15. intolerance;15. нетерпимость
bias;пристрастие
prejudice;предупреждение
narrow-mindedness;узость взглядов, офаниченность
lack of forbearance;нетерпимость
16. reputation;16. репутация
good name;доброе имя
dignity;достоинство
honour;честь
prestige;престиж
standing;репутация, вес
repute;репутация в обществе
17. fame;17. слава, известность
prominence;известность
reputation;слава, доброе имя
renown;слава, известность
celebrity;знаменитость
public esteem;общественное признание
glory;слава
popularity;популярность
prestige;престиж
distinction;известность
laurels;лавры (славы)
18. disgrace;18. позор
dishonour;бесчестье
disrepute;дурная слава
discredit;дискредитация
infamy;дурная слава, бесчестье, позор
ignominy;бесчестье
19. economy;19. экономность
thrift;бережливость
thriftiness;бережливость
frugality;бережливость
prudence;благоразумие
parsimony;бережливость
sparingness;бережливость/умеренность
reasonableness;умеренность
husbandry;бережливость
moderation;умеренность
20. prodigality;20. расточительность
thriftilessness;неэкономность
wastefulness;расточительность
excess;чрезмерность
immoderation;неумеренность
extravagance;расточительность
21. greed;21. жадность
avarice;алчность
greediness;жадность
selfishness;корыстолюбие
avidity;жадность
covetousness;жадность
cupidity;алчность, скаредность
rapacity;жадность
piggishness;жадность
closefistedness;скупость
22. munificence;22. щедрость
generosity;щедрость, великодушие
bounty;щедрость
benevolence;доброжелательность
beneficence;благодеяние
philanthropy;филантропия
charity;благотворительность, милосердие
23. idiot;23. идиот
fool;дурак
simpleton;простофиля
imbecile;тупица
dolt;болван
dimwit;тупица
dunce;тупица
cretin;кретин
crackpot;чокнутый
dud;никчемный человек
dullard;тупица
dumb-bell;болван
stupid;дурак
blockhead;тупица
oaf;дурак
24. knave;24. плут
rascal;мошенник
rogue;жулик, негодяй
scamp;негодяй, бездельник
cad;хам
fiend;злодей
swindler;мошенник
urchin;пострел
imp;чертенок, пострел
miscreant;негодяй, злодей
scoundrel;негодяй
sneak;подлец, ябеда
25. seducer;25. соблазнитель
debaucher;развратник
womanizer;бабник
sinner;грешник
seductress;соблазнительница
playboy;повеса
rake;повеса
reprobate;распутник
wanton;распутница
voluptuary;сластолюбец
26. hypocrisy;26. лицемерие
insincerity;неискренность
falsity;лицемерие
duplicity;двуличие
27. mendacity;27. лживость
lying;лживость
falsehood;лживость
falsity;вероломство
untruthfulness;неправдивость
falsification;фальсификация
prevarication;увиливание
deceit;обман
deception;обман
duplicity;двуличие
dishonesty;нечестность
hypocrisy;лицемерие
perfidy;коварство
fraud;обман
28. levity;28. легкомыслие, ветреность
frivolity;легкомыслие
hilarity;веселость
foolishness;безрассудство
silliness;глупость
29. loafer;29. лентяй
lazy;лентяй
idler;праздный человек, бездельник
loiterer;копуша
malingerer;симулянт
laggard;увалень
shirker;"сачок", увиливающий
lazy-bones;лентяй
waster;никудышный человек
30. flattery;30. лесть
excessive compliment;преувеличенный комплимент
false praise;незаслуженная похвала
sycophancy;лесть
toadyism;лесть, подхалимаж
fawning;лесть
servility;угодничество
cajolery;лесть
blandishment;лесть
blarney;лесть
31. whim;31. каприз, причуда
fancy;прихоть, каприз
quirk;причуда, выверт
whimsy;прихоть, каприз
caprice;каприз
eccentricity;эксцентричность
vagary;причуда
crank;причуда
32. grouch;32. брюзга
complainer;нытик
grumbler;ворчун
pouter;нытик
moper;ипохондрик
crab;ворчливый человек
wet blanket;нытик
killjoy;пессимист, отравитель радости
33. sponger;33. паразит, нахлебник
cadger;попрошайка
freeloader;паразит
leech;пиявка, прихлебатель
scrounger;попрошайка
borrower;попрошайка
deadbeat;бездельник, паразит
34. impostor;34. самозванец, плут, обманщик
pretender;притворщик
deceiver;обманщик
trickster;мошенник
duper;мошенник
35. sham;35. обман, подделка
counterfeit;подделка
phony;обман
forgery;подделка
cheat;обман
