1. appearance;1. внешность
look;внешность
air;вид
image;образ, внешность
guise;наружность, облик
aspect;внешний вид
style;мода, фасон
2. body;2. тело
figure;фигура
physique;телосложение
build;телосложение
shape;фигура
stature;рост, фигура
3. giant;3. гигант
tall person;высокий человек
colossus;колосс
thumper;очень большой (человек)
titan;титан, исполин
whopper;громадина
4. dwarf;4. карлик
midget;карлик, лилипут
pygmy;пигмей, карлик
5. corpulence;5. полнота, тучность
obesity;тучность, ожирение
overweight;избыточный вес
stoutness;полнота, тучность
fatty;толстяк
pudgy;толстяк, коротышка
portliness;тучность, полнота
6. slenderness;6. стройность
thinness;худизна (здоровая)
slimness;стройность, худизна
frailness;хрупкость
delicacy;хрупкость
leanness;худизна
7. posture;7. поза, осанка
bearing;осанка, манера держать себя
pose;поза
demeanour;манера держаться
manner;осанка, манера
set;манера
attitude;поза, осанка
carriage;осанка, манера держать себя
deportment;осанка, выправка
8. gait;8. походка
walk;походка
step;поступь, походка
stride;большой шаг
pace;шаг, походка
tread;поступь, походка
9. gesture;9. жест
bodily movement;движения тела
hand and arm movement;движения рук
gesticulation;жестикуляция
sign;знак
motion;движение
pantomime;язык жестов
shrug;пожимание плечами
nod;кивок головой
wave;взмах рукой
nudge;толчок локтем
touch;прикосновение
10. grimace;10. гримаса
face;гримаса, рожа
wry face;гримаса
smirk;ухмылка
sneer;презрительная усмешка
expression;выражение
countenance;выражение лица
mien;мина, выражение лица
visage;выражение лица
mops and mows;гримасы
11. dexterity;11. ловкость, проворство
manual skill;ловкость рук
deftness;ловкость
adroitness;ловкость
handiness;ловкость, искусность
proficiency;умение, сноровка
nimbleness;проворство, легкость
12. laggard;12. увалень, неуклюжий
loiterer;копуша
dawdler;копуша, медлительный
idler;лентяй, бездельник
sluggard;лентяй
loafer;лентяй
lounger;бездельник
snail;медлительный человек (как улитка
poke;лентяй, лодырь
13. lout;13. неуклюжий, деревенщина, неотесанный
churl;грубиян, деревенщина
clod;чурбан, олух
oaf;неотесанный, неуклюжий человек
rustic;неотесанный человек
bumpkin;деревенщина, неотесанный
14. cripple;14. калека, инвалид
lame person;хромой человек
the disabled;инвалид
the handicapped;калека
the impaired;калека
15. beauty;15. красота
loveliness;красота
handsomeness;мужская красота
good looks;приятная внешность
attractiveness;привлекательность
splendour;величие, великолепие
16. elegance;16. элегантность, изящность
taste;вкус
style;стиль
refinement;утонченность
grace;грациозность
gracefulness;грациозность
exquisiteness;изысканность
17. disarray;17. беспорядок в одежде, небрежность
disorder;беспорядок
sloppiness;небрежность
negligence;небрежность
dishevelment;растрепанность
untidiness;неопрятность
upset;беспорядок
messiness;неряшливость, беспорядок
18. repulsion;18. отвращение
revulsion;отвращение
repugnance;отвращение, антипатия
disgust;отвращение
indisposition;нерасположение
dislike;неприязнь, антипатия
antipathy;антипатия
detestation;сильное отвращение
aversion;отвращение
loathing;отвращение
abomination;отвращение
abhorrence;отвращение
