1. belt;1. ремень, пояс
sash;пояс
band;поясок
waistband;пояс
girdle;пояс, кушак
2. tab;2. вешалка, петелька
loop;петелька
eyelet;ушко, петелька
short strip;вешалка
3. tie;3. галстук
necktie;галстук
cravat;галстук
bow tie;бабочка
4. buckle;4. пряжка, застежка
hasp;застежка
clasp;застежка
fastener;застежка/молния
hook;крючок
zipper;застежка, молния
zip;застежка-молния
5. flounce;5. оборка
ruffle;кружевная оборка
frill;оборка
ornament;украшение
furbelow;оборка
fringe;кайма, бахрома
trimming;кайма, оборка
edging;кайма, оборка
skirting;кайма
6. frippery;6. украшения, безделушки
trappings;украшения
armaments;украшения
adornments;украшения
embellishments;украшения
garnish;украшения
trinket;безделушка
jewelry;ювелирные изделия
jewel;ювелирное изделие
