1. nourishment;1. питание, пища
food;пища
provisions;провизия
sustenance;питание
nutriment;питание
nutrition;питание
victuals;продукты
comestibles;съестное
grub;пища, еда
2. meal;2. прием пищи
nourishment;питание
refreshment;перекуска
snack;закуска
repast;еда, трапеза
banquet;банкет
fare;меню, стол, пища
cooking;приготовленные продукты
bill of fare;меню
menu;меню
diet;диета
breakfast;завтрак
lunch;второй завтрак, ленч
dinner;обед
supper;ужин
feed;питание/кормление/пища
3. appetite;3. аппетит
hunger;голод
thirst;жажда
stomach;аппетит, вкус к чему-то
taste;вкус к чему-то
relish;приятный вкус/вкус к чему-то
liking;вкус к чему-то
desire for food;голод
hungriness;голод
ravenousness;голодность, волчий аппетит
a ravenous appetite;прожорливость
voracity;прожорливость
4. taste;4. вкус
flavour;вкус, привкус
savour;особый вкус или запах
relish;приятный вкус
smack;вкус
piquancy;пикантность, острота
tang;резкий вкус, привкус, острый запах
5. diet;5. диета
nutritional regimen;диета, режим
selection of food;выбор продуктов
prescribed food and drink;предписанное питание
limitation of fare;ограничения в меню
6. ration;6. рацион (питания)
food share;порция питания
provision;провизия
measure;норма питания
portion;порция
7. gluttony;7. обжорство
excessive eating;избыточное питание, переедание
overeating;переедание
voracity;прожорливость
ravenousness;прожорливость
gormandizing;обжорство
intemperance;неумеренность (в еде)
rapacity;прожорливость
8. famine;8. голод
scarcity of food;недостаток продовольствия
half rations;слабый рацион
starvation;голодание/голодная смерть
malnutrition;недоедание, голодание
famishment;голодание
extreme hunger;крайний голод
