1. anxiety;1. беспокойство, опасение
uneasiness;беспокойство
worry;беспокойство
apprehension;опасение, мрачное предчувствие
misgiving;дурное предчувствие
discomfort;беспокойство
concern;озабоченность
anguish;томление, страдание
tension;напряжение
suspense;неопределенность
disquiet;беспокойство
fear;страх
dread;опасение
alarm;тревога
solicitude;беспокойство, забота
commotion;волнение
misery;страдание
2. burden;2. ноша, бремя, забота
anxiety;беспокойство
strain;напряжение
stress;напряжение
care;забота
responsibility;ответственность
trouble;хлопоты, заботы
hardship;трудности, лишения
3. complaint;3. жалоба
grievance;сетования, жалобы
dissatisfaction;неудовлетворение
criticism;критика
faultfinding;придирки
protest;протест
objection;возражение
lamentation;жалобы, сетования
4. depression;4. депрессия
sadness;печаль, грусть
spleen;хандра
dejection;уныние
discouragement;упадок духа
downheartedness;подавленность
melancholia;меланхолия
despondency;упадок духа
desolation;отчаяние
torment;мучение
despair;отчаяние
mope;хандра
hopelessness;безнадежность
desperation;отчаяние
deep sadness;глубокая печаль
disappointment;расстройство, разочарование
frustration;разочарование
grief;горе
ennui;апатия
5. displeasure;5. недовольство/досада
annoyance;досада, раздражение
vexation;раздражение
dissatisfaction;неудовлетворение
dislike;нерасположение, антипатия
disapproval;неодобрение
fret;раздражение
nuisance;досада
6. indifference;6. безразличие
unconcern;равнодушие, безразличие
lack of interest;отсутствие интереса
disinterest;отсутствие интереса
neglect;пренебрежение
inattention;невнимание
impassiveness;бесстрастность
impassivity;бесстрашие
carelessness;невнимание
negligence;пренебрежение
insensitivity;равнодушие
insensibility;безразличие, бесчувственность
disdain;презрение
coldness;холодность
7. suffering;7. страдание, горе
sorrow;горе
distress;горе, страдание
heavy heart;тяжелое сердце
grief;горе
dolour;страдание, печаль
woe;горе
tribulation;горе, несчастье
anguish;страдание
anxiety;беспокойство
mourning;скорбь, печаль
misery;страдание
8. moan;8. стон
groan;стон
wail;вопль, стенания
lamentation;жалоба, плач
sob;рыдание
plaint;плач, стенание
9. tedium;9. скука
monotony;монотонность, утомительность
boredom;скука
tiresomeness;скука, утомительность
dullness;безрадостность, уныние, скука
drabness;скука, однообразие
dreariness;скука, грусть
