1. certainty;1. уверенность
positiveness;уверенность
reliance;уверенность
confidence;уверенность
certitude;уверенность
credence;доверие, вера
assurance;уверенность
sureness;уверенность
security;уверенность
conviction;убежденность
belief;вера
faith;вера
self-assurance;уверенность в себе
2. determination;2. решимость
decision;решимость
resolution;решимость
resolve;решимость
resoluteness;решимость
perseverance;упорство, настойчивость
tenacity;упорство, стойкость
persistence;упорство
steadfastness;стойкость
spunk;мужество
pluck;мужество
grit;стойкость характера
self-control;самообладание
composure;хладнокровие, самообладание
patience;терпение, стойкость
3. courage;3. храбрость
bravery;отвага
valour;мужество
fearlessness;бесстрашие
dauntlessness;бесстрашие
intrepidity;отвага
daring;отвага
boldness;смелость
nerve;храбрость
fortitude;стойкость
mettle;храбрость
spunk;храбрость
4. doubt;4. сомнение
uncertainty;неуверенность
indecision;нерешимость
lack of conviction;отсутствие убежденности
hesitation;колебание
distrust;недоверие
suspicion;подозрение
5. abstention;5. воздержание
abstaining;воздержание
desisting;воздержание
avoidance;избежание
non-participation;неучастие
forbearance;воздержанность
refusal;отказ
6. weakness;6. слабость
feebleness;слабость
shakiness;ненадежность
unsteadiness;нетвердость, колебание
