1. love;1. любовь
passion;страсть
dedication;преданность
affection;любовь, привязанность
infatuation;страстная любовь
spell;чары
amorousness;влюбленность
devotion;преданность
adoration;обожание
endearment;ласка
tenderness;нежность
fondness;нежность, любовь
attachment;привязанность
admiration;восхищение
craze;увлечение
liking;симпатия, расположение
attraction;притяжение, тяготение
courtship;ухаживание
2. kindness;2. доброта
benevolence;доброжелательность
generosity;великодушие
benefaction;благодеяние
charity;милосердие
philanthropy;филантропия
humanity;гуманность
magnanimity;великодушие
goodness;доброта
compassion;сострадание
sympathy;сочувствие
goodwill;добрая воля
pity;сострадание, жалость
grace;милость, милосердие
graciousness;доброта, милосердие
cordiality;сердечность
warmth;теплота
friendliness;дружественность
affability;любезность
amiability;дружественность
heartiness;сердечность
clemency;милосердие
3. respect;3. уважение
regard;уважение
esteem;уважение
appreciation;высокая оценка
affection;теплые чувства
deference;уважение, почитание
veneration;почитание
reverence;почтение
praise;похвала
laudation;похвала
admiration;восхищение
recognition;признание
consideration;уважение
homage;почтение, уважение
honour;почет, уважение
4. hatred;4. ненависть
dislike;неприязнь
disgust;отвращение
aversion;отвращение
hate;ненависть
loathing;отвращение
abomination;отвращение
abhorrence;отвращение
detestation;сильное отвращение
repugnance;отвращение
revulsion;отвращение
5. contempt;5. презрение
disdain;презрение
scorn;презрение
derision;осмеивание
humiliation;унижение
disregard;неуважение, пренебрежение
6. malice;6. злоба
malevolence;злоба, недоброжелательность
malignity;злобность
malignancy;злобность
spitefulness;злобность
grudge;недоброжелательство, злоба
rancour;злоба, вражда
resentment;чувство обиды, негодование
animosity;враждебность
antagonism;враждебность
enmity;враждебность
venom;злоба
acrimony;желчность
