1. pride;1. гордость
boastfulness;хвастовство
conceit;самомнение, тщеславие
dignity;достоинство
self- importance;важничанье
vanity;тщеславие
presumption;самонадеянность
immodesty;нескромность
smugness;самодовольство
arrogance;высокомерие
haughtiness;высокомерие
pomposity;напыщенность
2. modesty;2. скромность
humility;скромность, покорность
humbleness;скромность
lack of boastfulness;отсутствие хвастовства
reserve;сдержанность
restraint;сдержанность
diffidence;скромность, застенчивость
3. timidity;3. робость, застенчивость
shyness;застенчивость
meekness;кротость
bashfulness;стыдливость
humbleness;кротость
diffidence;застенчивость
embarrassment;смущение
shame;стыд
4. insolence;4. наглость
impudence;наглость
impertinence;наглость
insulting rudeness;оскорбительная грубость
disrespect;неуважение
superciliousness;надменность, презрение
incivility;невежливость
impoliteness;невежливость
brazenness;бесстыдство
bumptiousness;нахальство
