1. wish;1. желание
want;желание, необходимость
desire;сильное желание
longing;стремление
craving;стремление, страстное желание
aspiration;устремление
ambition;стремление
hunger;голод (переносно)
thirst;жажда
inclination;склонность
appetite;желание
hope;надежда
dream;мечта
endeavour;попытка, стремление
intention;намерение
propensity;склонность
volition;хотение
temptation;соблазн
anticipation;ожидание (с нетерпением)
expectation;ожидание
concupiscence;страстное желание
lust;вожделение, похоть
whim;причуда, капризное желание
2. incentive;2. стимул
motivation;мотивация
spur;стимул
impetus;толчок, стимул
motive;повод, побуждение
stimulus;стимул
encouragement;ободрение, поддержка
inducement;стимул, побуждение
lure;соблазн
temptation;искушение
solicitation;подстрекательство
stimulant;стимул
3. ardour;3. пыл, рвение
zeal;усердие
vehemence;горячность, порыв
alacrity;готовность (к делу)
willingness;готовность, охота
enthusiasm;энтузиазм
eagerness;пыл, рвение
animation;воодушевление
vigour;сила, энергия
application;старание
diligence;прилежание, старание
fervour;рвение, усердие
flame;пыл, страсть
endeavour;стремление
4. avoidance;4. избегание
keeping away;избегание
shunning;избежание
shirking;увиливание
evasion;уклонение, избежание
elusion;увертка, уклонение
reluctance;неохота, нежелание
laziness;лень
negligence;небрежность
5. lassitude;5. усталость, апатия, вялость
tiredness;усталость
fatigue;сильная усталость
weariness;усталость, утомленность
weakness;слабость
sluggishness;вялость, инертность
exhaustion;истощение, изнурение
lack of energy;упадок сил
feebleness;слабость
enervation;слабость, расслабленность
faintness;вялость, слабость
indolence;леность, вялость
drowsiness;сонливость
languor;слабость, вялость, усталость
torpidity;вялость
torpor;апатия, безразличие
prostration;изнеможение, упадок сил
apathy;апатия
indifference;безразличие
supineness;вялость, лень
inertia;вялость, инертность
