1. amazement;1. изумление
bewilderment;недоумение
astonishment;удивление
surprise;сюрприз, удивление
shock;шок, потрясение
stupefaction;изумление, остолбенение
wonder;удивление
incredulity;недоверчивость
daze;изумление
perplexity;недоумение
confusion;смущение
2. fear;2. страх, боязнь
dread;страх, опасение
fright;страх
terror;страх, ужас
panic;паника
horror;ужас
apprehension;опасение
alarm;тревога
dismay;страх, испуг
trepidation;тревога, беспокойство
consternation;ужас
worry;беспокойство
anxiety;тревога, опасение
cowardice;трусость
fearfulness;боязнь
qualm;приступ малодушия
tremour;дрожь
thrill;нервная дрожь
stupor;оцепенение
shudder;дрожь, содрогание
scare;паника, испуг
shock;шок
jitters;испуг
foreboding;дурное предчувствие
3. excitement;3. возбуждение
animation;воодушевление
enthusiasm;энтузиазм
agitation;волнение
commotion;волнение, суматоха
ferment;возбуждение, волнение
worry;беспокойство
uneasiness;беспокойство, тревога
elation;энтузиазм
activity;активность
flurry;беспокойство; волнение
flutter;волнение, трепет
trance;экстаз
4. compunction;4. угрызения совестя
pang of conscience;угрызения совести
qualm;угрызения совести
regret;сожаление
remorse;угрызение совести
scruple;угрызения совести
repentance;раскаяние
contrition;сожаление, угрызение совести
self-reproach;самобичевание
penitence;покаяние
atonement;искупление вины
5. rage;5. гнев
violent anger;гнев
wrath;гнев
frenzy;неистовство
indignation;возмущение
fury;ярость
umbrage;обида
resentment;негодование; обида
irritation;раздражение
passion;вспышка гнева
vehemence;горячность
temper;вспыльчивость
rampage;ярость, буйство
heat;пыл, гнев
ire;гнев, ярость
outburst;вспышка чувств
tantrum;гнев
6. feeling;6. чувство, впечатление
reaction;реакция
impression;впечатление
sentiment;чувство, отношение
attitude;отношение
reception;восприятие
impact;влияние
7. envy;7. зависть
jealousy;ревность
grudging;зависть, недоброжелательство
spite;злоба, злость
malevolence;недоброжелательство
covetousness;зависть
