1. spotting;1. слежение
surveillance;надзор
scrutiny;тщательный осмотр
contemplation;созерцание
2. deliberation;2. размышление
reflection;обдумывание
consideration;рассмотрение
thinking;размышление
judgement;суждение
deduction;умозаключение, вывод
conclusion;вывод
meditation;раздумье
study;изучение
speculation;размышление
3. assumption;3. предположение
belief;вера
idea;идея
supposition;предположение
presumption;предположение
premise;предпосылка
theory;теория
hypothesis;гипотеза
postulation;постулат
conjecture;предположение
expectation;ожидание, предположение
foresight;предвидение, предусмотрительность
forethought;предусмотрительность
preconception;предвзятое мнение
prejudice;предрассудок
providence;предусмотрительность
reckoning;предположение
surmise;предположение, догадка
guess;предположение
4. attention;4. внимание, внимательность
concentration;концентрация (внимания)
alertness;бдительность, настороженность
heed;внимание, осторожность
vigilance;бдительность
engrossment;сосредоточенность
caution;осторожность, предосторожность
absorption;погружение (в мысли)
notice;внимание
intentness;осмотрительность, внимательность
discrimination;проницательность
scrutiny;внимательный осмотр
insight;проницательность
acuteness;проницательность
5. comprehension;5. понимание
understanding;понимание
grasp;понимание
insight;проницательность, понимание
intuition;интуиция
realization;осознание
perception;осознание, понимание
awareness;осознание
recognition;узнавание, опознание
knowledge;знание
appreciation;оценка
reckoning;оценка
discernment;умение различать
estimation;оценка
judgement;мнение, суждение
opinion;мнение
6. concept;6. понятие, идея
idea;идея
thought;мысль
conception .;концепция
notion;понятие
denotation;объем понятия
7. definition;7. определение
description;описание
determination;определение, установление
denomination;название, обозначение
denotation;обозначение/значение
statement of meaning;указание значения
8. distinction;8. различение/распознание
differentiation;различение
separation;разграничение, различение
discernment;умение различать
identification;опознание
9. meaning;9. значение, смысл
denotation;значение
sense;смысл
signification;значение
significance;значение
essence;суть
gist;суть
pith;суть
point;смысл
10. conclusion;10. умозаключение, вывод
deduction;вывод
judgement;суждение, вывод
summation;подведение итога
inference;вывод
result;результат
decision;решение
11. memory;11. память, воспоминание
recollection;воспоминание
ability to remember;способность запоминать
mental retention;запоминание
mind;воспоминание
remembrance;воспоминание
retrospect;взгляд в прошлое
12. Illusion;12. иллюзия, ошибка
false belief;ложный взгляд
false idea;ложная идея
erroneous impression;ошибочное впечатление
misconception;неправильное представление
error;ошибка
misapprehension;недоразумение
misunderstanding;недоразумение
fallacy;заблуждение, ложный вывод
13. mind;13. ум, рассудок
brain;мозги, интеллект
intellect;интеллект
mental capacity.;умственная способность
intelligence;ум, рассудок
mentality;ум, интеллект
cognition;познавательная способность
14. law;14. закон
rule;правило
principle;принцип
theorem;теорема
axiom;аксиома
regularity;закономерность
regulation;правило, предписание
15. information;15. информация
data;данные
material;материал
knowledge;знания
facts;факты
evidence;данные, улика
