1. research;1. исследование
inquiry;исследование, расследование
investigation;расследование
search;поиски
fact finding;сбор фактов
analysis;анализ
scrutiny;внимательное исследование
study;исследование, изучение
inspection;проверка
examination;проверка
verification;перепроверка
test;испытания
proof;доказательство
trial;испытание
check;проверка
experiment;эксперимент
tryout;проверка
2. problem;2. проблема
riddle;загадка
puzzle;загадка, головоломка
strange phenomenon;странное явление
difficulty;трудность
anomaly;аномалия
issue;проблема
topic;тема
subject;предмет (исследования)
3. symptom;3. симптом, признак
signal;сигнал
clue;ключ (к разгадке)
sign;ключ
key;признак
indication;симптом, проявление
evidence;признаки, данные
4. criterion;4. критерий
standard;стандарт
norm;норма
precedent;прецедент
example;пример
touchstone;критерий
5. method;5. метод
system;система
technique;техника
procedure;методика проведения, процесс
process;процесс, прием
approach;подход
course;порядок, способ
program;программа
mode;способ
way;способ
manner;способ
routine;установившийся порядок
practice;установившийся порядок
6. specimen;6. образец
sample;образец, проба
instance;пример
prototype;прототип
model;модель
7. aim;7. цель
goal;цель
target;цель
purpose;цель
objective;цель
8. choice;8. выбор
selection;выбор
pick;выбор
preference;выбор, предпочтение
option;выбор, предмет выбора
9. connection;9. связь
relation;связь, отношения
relationship;связь
interrelation;взаимосвязь
link;связь
correlation;взаимосвязь
affinity;сходство
concatenation;связь
conjunction;соединение
combination;комбинация
association;соединение
10. compliance;10. соответствие
compatibility;совместимость
conformity;соответствие
agreement;согласованность
correspondence;соответствие
harmony;гармония
analogy;аналогия
coordination;согласованность
consistency;согласованность
matching;сочетаемость, совместимость
11. discrepancy;11. разрыв, несогласованность, расхождение
difference;разница
inconsistency;несогласованность
variance;расхождение
disagreement;несогласованность
lack of correspondence;несоответствие
disparity;несоответствие
i divergence;расхождение
incongruity;несовместимость
incompatibility;несовместимость
contrast;контраст
12. classification;12. классификация
grouping;группирование
categorization;распределение по категориям
arrangement;упорядочивание
gradation;градация, классификация
organization;организация
ordering;упорядочивание
systematization;систематизация
13. class;13. класс
category;категория
group;группа
type;тип
kind;вид, разряд, тип
sort;сорт
species;вид (растений, животных)
genus;сорт, вид, биол.род
14. precision;14. точность
exactness;точность
preciseness;точность
accuracy;точность
rigour;точность
authenticity;достоверность
15. estimation;15. оценка
evaluation;оценка
reckoning;оценка
judgment;оценка, суждение
appreciation;оценка
