1. result;1. результат
effect;результат
outcome;исход
fruit;плоды
end;результат
achievement;достижение
accomplishment;достижение
attainment;достижение
realization;реализация
fulfillment;выполнение
completion;завершение
2. data;2. данные
information;информация
facts;факты
figures;цифровые данные
record;данные, протокол
chart;диаграмма, схема
table;таблица
graph;график, диаграмма
diagram;диаграмма
scheme;схема
plan;план
3. success;3. успех
happy outcome;удачный исход
triumph;триумф
achievement;достижение
fulfillment;завершение
completion;завершение
progress;успех
4. failure;4. провал, неудача
ill-luck;неудача
vain attempt;напрасная попытка
non-fulfillment;невыполнение
washout;неудача
flop;провал
5. abnormality;5. аномалия
anomaly;аномалия
aberration;отклонение
oddity;странность
curiosity;странность
peculiarity;странность
6. error;6. ошибка
blunder;грубая ошибка
mistake;ошибка
inaccuracy;неточность
miscalculation;ошибка в подсчете, просчет
fault;ошибка
fallacy;ошибка, заблуждение
7. calculation;7. вычисление
computation;вычисление
reckoning;расчет, вычисление
figuring;вычисление
result;результат
sum;сумма
product;произведение
total;сумма
8. solution;8. решение
explanation;объяснение
answer;ответ
key;ключ к пониманию
9. invention;9. изобретение
creation;создание
origination;порождение, создание
fabrication;изготовление
discovery;открытие
development;разработка, усовершенствование
improvement;улучшение
innovation;новаторство
10. proof;10. доказательство
evidence;доказательство
confirmation;подтверждение
verification;подтверждение
substantiation;доказательство
corroboration;подтверждение
11. advantage;11. преимущество
asset;ценное качество
profit;выгода, доход
benefit;выгода, польза
convenience;удобство
worth;ценность, достоинство
merit;достоинство
use;польза
account;выгода
12. disadvantage;12. недостаток
weak point;слабое место
inconvenience;неудобство
shortcoming;недостаток
drawback;недостаток, отрицательная сторона
