1. report;1. доклад
paper;доклад
article;статья
statement;официальный отчет
description;описание
text;текст
account;отчет
summary;краткое изложение
explanation;разъяснение
demonstration;демонстрация
display;показ
synopsis;краткий обзор
disclosure;раскрытие
revelation;раскрытие
2. conference;2. конференция
discussion;дискуссия
consultation;консультация
meeting;встреча
symposium;симпозиум
seminar;семинар
sitting;заседание
round-table talks;разговор за круглым столом
session;заседание
presentation;презентация
3. theme;3. тема
topic;тема
subject;предмет, тема
point;тема
question;вопрос
item;тема, вопрос
4. thesis;4. тезис
proposition;предложение
proposal;предложение
argument;аргумент
idea;идея
thought;мысль
viewpoint;точка зрения
opinion;мнение
5. assertion;5. утверждение
allegation;голословное утверждение
claim;заявление, утверждение
declaration;заявление
statement;утверждение, заявление
averment;утверждение
6. proof;6. доказательство
corroboration;подтверждение
evidence;доказательство
substantiation;доказательство
demonstration;демонстрация
7. annotation;7. аннотация, примечание
note;примечание
remarks;примечание
observation;замечание
comment;комментарий
interpretation;интерпретация
explication;толкование
8. reasoning;8. рассуждение, объяснение
logic;логика
cogitation;размышление
thinking;мышление
deduction;вывод, дедукция
inference;вывод, заключение
conclusion;вывод
analysis;анализ
penetration;проницательность
9. quotation;9. цитата, цитирование
excerpt;выдержка
citation;цитата
extract;выдержка
passage;отрывок
reference;ссылка
illustration;иллюстрация
10. assumption;10. предложение
hypothesis;гипотеза
supposition;предположение
postulate;постулат
premise;предпосылка
presupposition;предложение
presumption;предложение
