1. criticism;1. критика
critique;критика
review;рецензия
analysis;анализ
critical commentary;критический комментарий
scrutiny;внимательное рассмотрен
appraisal;оценка
2. approval;2. одобрение
approbation;одобрение
consent;согласие
encouragement;одобрение
appreciation;высокая оценка
recognition;признание
praise;похвала
good words;добрые слова
acclaim;шумное приветствие
applause;аплодисменты
congratulation;поздравление
recommendation;рекомендация
laudation;похвала
promotion;продвижение
admiration;восхищение
regard;высокое мнение
esteem;высокая оценка
support;поддержка
3. disagreement;3. несогласие
objection;возражение
criticism;критика
contradiction;опровержение
dissent;разногласие, несогласие
rejection;отклонение
refusal;отказ
doubt;сомнение
opposition;оппозиция
obstruction;обструкция
faultfinding;придирки к мелочам
disbelief;неверие
condemnation;осуждение
controversy;полемика
4. attitude;4. отношение, позиция, точка зрения
position;позиция
opinion;мнение
viewpoint;точка зрения
point of view;точка зрения
judgement;мнение, взгляд
5. objectiveness;5. объективность, беспристрастность
impartiality;беспристрастие
fairness;справедливость
justice;справедливость
detachment;беспристрастность
objectivity;объективность
neutrality;нейтралитет
6. partiality;6. пристрастие
bias;пристрастие, предвзятость
prejudice;предвзятость, предубеждение
predilection;предпочтение
one-sidedness;односторонность
partisanship;приверженность
favoritism;фаворитизм
preference;предпочтение
discrimination;дискриминация
privilege;привилегия
7. reservation;7. воздержание
doubt;сомнение
reluctance;нерасположение, неприятие
uncertainty;неуверенность
hesitancy;колебание
qualification;оговорка, обусловленность
8. profundity;8. глубина (мысли)
deepness;глубина
profoundness;глубина
erudition;эрудиция
wisdom;мудрость
learnedness;ученость
abstruseness;глубокомыслие
9. ambiguity;9. двусмысленность, неясность
equivocation;уклончивость, неясность
vagueness;неясность
abstruseness;трудность для понимания
indefiniteness;неопределенность
evasion;увертка
chicanery;софизм
claptrap;трескучая фраза
truism;трюизм, банальная истина
10. authority;10. авторитет, специалист
luminary;светило
expert;эксперт
celebrity;знаменитость
eminent person;выдающийся человек
specialist;специалист
professional;профессионал
master;мастер
ace;ас
11. absurdity;11. абсурд
nonsense;абсурд
irrationality;абсурдность, нелогичность
drivel;чушь, бред
silliness;глупость
inanity;пустота, бессодержательность
fallacy;заблуждение
unreasonableness;безрассудство
chimera;химера
12. propriety;12. правильность, уместность
correctness;правильность
suitableness;уместность
aptness;уместность
tightness;правильность
reasonableness;разумность
13. amendment;13. поправка, исправление
revision;пересмотр, изменение
change;изменение
alteration;изменение
improvement;усовершенствование
correction;исправление
rectification;исправление
