1. difficulty;1. трудность
trouble;затруднение, беда
problem;проблема
obstacle;препятствие
impediment;помеха, препятствие
dilemma;дилемма
puzzle;загадка
quandary;затруднительное положение
intricacy;запутанность
drawback;помеха
snag;загвоздка
hindrance;препятствие
fix;затруднительное положение
hitch;заминка, помеха
obstruction;помеха, затруднение
predicament;затруднение
riddle;загадка
stalemate;патовое положение, тупик
deadlock;тупик
quagmire;затруднительное положение
labyrinth;лабиринт
complexity;сложность
complication;осложнение
bottle-neck;узкое место, затруднение
conundrum;головоломка
contingency;непредвиденное обстоятельство
2. danger;2. опасность
peril;опасность
risk;риск, опасность
hazard;опасность, риск
threat;угроза
menace;угроза
jeopardy;опасность
endangerment;подвергание опасности
insecurity;опасное положение, ненадежность
