1. abnormality;1. аномалия
anomaly;аномалия
oddity;странность
curiosity;странность
peculiarity;странность
irregularity;неправильность
aberration;отклонение
deviation;отклонение
2. wonder;2. чудо
phenomenon;явление (необычное)
marvel;чудо
miracle;чудо
rarity;редкость
supernatural event;сверхъестественное явление
3. apparition;3. привидение
ghost;дух, привидение
phantom;фантом, призрак
spectre;привидение
spirit;дух
spook;призрак, привидение
wraith;дух, видение
4. prophet;4. пророк
foreteller;предсказатель
oracle;оракул
forecaster;предсказатель
fortuneteller;предсказатель
prognosticator;предсказатель
augur;прорицатель
soothsayer;гадалка
5. fate;5. судьба, удел
destiny;судьба
predestination;предопределение
providence;провидение
will of god;божья воля
lot;участь, судьба
fatality;рок, судьба
fatalism;фатализм
6. omen;6. предзнаменование, примета
sign;примета, знак
token;примета, признак
portent;предзнаменование, предвестник
augury;предзнаменование
auspices;доброе предзнаменование
harbinger;предвестник
herald;вестник
7. prophecy;7. предсказание
prediction;предсказание
presage;предсказание
forecast;прогноз
divination;гадание
prognostication;предсказание
soothsaying;гадание
8. wizard;8. колдун, маг, волшебник
sorcerer;колдун
magician;маг
conjurer;чародей, маг
enchanter;чародей
witch;колдунья, ведьма
9. devil;9. черт
the Devil;дьявол
Satan;Сатана
Arch-fiend;Дьявол
Lucifer;Люцифер, Дьявол
Spirit of Evil;злой дух
10. God;10. бог
Lord;господь
Our Father;отче наш
God Almighty;Всевышний
The Deity;Божество
The Creator;Творец
The Omnipotent.;Всемогущий
11. telepathy;11. телепатия
spirit communication;передача мысли
extrasensory perception;экстрасенсорика
sixth sense;шестое чувство
thought transference;передача мысли
clairvoyance;ясновидение
