1. school;1. школа
academy;академия
lyceum;лицей
institute;институт
elementary school;начальная школа
high-school;старшие классы среднейшколы
secondary school;средняя школа
college;колледж
university;университет
2. vocation;2. призвание
calling;призвание
profession;профессия
field;поле деятельности
career;карьера
occupation;занятие
business;дело, занятие, профессия
trade;ремесло
job;работа
employment;служба, работа
post;пост
station;место, пост
3. literacy;3. грамотность
learning;ученость, эрудиция
erudition;эрудиция
scholarship;ученость
learnedness;ученость
enlightenment;просвещение
culture;культура
