1. learner;1. учащийся
student;студент, учащийся
pupil;ученик
schoolchild;школьник
schoolboy;школьник
schoolgirl;школьница
2. teacher;2. учитель
schoolteacher;школьный учитель
schoolmaster;школьный учитель
schoolmistress;школьная учительница
professor;профессор
tutor;репетитор
3. lesson;3. урок
lecture;лекция
study;учеба
school-time;учебное время
classes;занятие
instruction;обучение
4. information;4. информация
material;материал
data;данные
knowledge;знания
facts;факты
5. practice;5. практика
training;тренировка
drill;отработка навыков
repetition;повторение
exercise;упражнение
practical use;практическое использование
application;применение
6. instance;6. пример
example;пример
illustration;иллюстрация, пример
pattern;образец
sample;образец
7. explanation;7. объяснение
explication;пояснение
elucidation;разъяснение
clarification;прояснение, выяснение
interpretation;толкование
8. correction;8. исправление
rectification;исправление
improvement;улучшение
development;развитие (умения)
adjustment;корректировка
9. skill;9. умение, навык
adroitness;ловкость
deftness;ловкость, искусность
dexterity;ловкость, сноровка
handiness;ловкость
mastery;мастерство
