1. examination;1. экзамен
test;тест
review;осмотр
final;выпускной экзамен
entrance examination;вступительный экзамен
midterm;экзамен в середине семестра
2. mark;2. оценка
grade;отметка, оценка
rating;отметка, оценка
excellent;отлично
good;хорошо
satisfactory;удовлетворительно
unsatisfactory;неудовлетворительно
evaluation;оценка (процесс)
3. competition;3. конкурс
competing;конкурс
contention;соревнование
rivalry;соперничество
4. certificate;4. аттестат
document;документ
diploma;диплом
certification;удостоверение
license;патент, права
qualification;квалификация
