1. language;1. язык
speech;речь
tongue;язык
mother tongue;родной язык
native language;родной язык
foreign language;иностранный язык
vocabulary;словарный запас, язык
diction;манера выражать мысли
2. dialect;2. диалект
vernacular;местный диалект
localism;местный говор
colloquialism;разговорный стиль, слово
jargon;жаргон
argot;жаргон
cant;жаргон
slang;жаргон
3. accent;3. акцент
pronunciation;произношение
articulation;артикуляция
manner of speaking;говор
intonation;интонация
tonality;тональность
drawl;протяжное произношение
twang;гнусавый выговор
lisp;шепелявость
utterance;дикция
4. lexicon;4. словарь
dictionary;словарь
word book;словарь
vocabulary;словарь
glossary;словарь (в конце книги)
5. word;5. слово
designation;обозначение
term;термин
appellation;имя, название
6. expression;6. выражение
idiom;выражение
locution;выражение
collocation;сочетание слов
saying;поговорка
proverb;поговорка
phrase;фраза
turn of phrase;оборот
set phrase;устойчивое выражение
figure of speech;речевой оборот
phraseology;фразеология
wording;форма выражения, формулировка
utterance;высказывание
7. metaphor;7. метафора
image;образ
figurative expressioi;образное выражение
poetic equivalent;поэтическое выражение
figure of speech;образное выражение
trope;троп, образное выражение
metonymy;метонимия
simile;сравнение
