1. ability;1. способность
capacity;способность
faculty;способность, дар
gift;дар
aptitude;пригодность
potential;потенциал
proficiency;умение, сноровка
knack;умение, навыки
competence;компетенция
skill;уменье, навык
talent;талант
bent;наклонность, способность
genius;гений
expertise;компетенция
endowment;одаренность, способности
flair;чутье
prodigy;одаренность
3. mediocrity;3. посредственность
ordinariness;заурядность, посредственности
common run;заурядность
commoner;обыкновенный человек
4. imbecile;4. глупец, слабоумный
blockhead;тупица
simpleton;простофиля
dunce;тупица
dolt;болван, олух
fool;дурак
idiot;идиот
nitwit;тупица
ass;осел
dumb-bell;болван
