1. information;1. информация
data;данные
material;материал
news;новости
knowledge;знания
report;сообщение, доклад
facts;факты
message;сообщение
account;отчет
announcement;объявление
notice;записка, сообщение
mass media;средства массовой информации
press;пресса
writing;письменный источник
source;источник
text;текст
2. topic;2. тема
gist;суть
theme;тема
subject;тема, предмет
issue;тема
idea;идея
point;тема, суть
content;содержание
matter;материал
keynote;основная мысль
thesis;тезис
3.truth;3. правда, истина
facts;факты
reality;реальность
truthfulness;правдивость
trueness;истинность
veracity;правдивость, достоверность
verity;достоверность
reliability;надежность
authenticity;подлинность, достоверность
trustworthiness;достоверность
accuracy;точность
exactness;точность
4. lie;4. ложь
falsehood;ложь
Prevarication;увиливание
falsification;фальсификация
untruth;неправда
fib;выдумка
fiction;вымысел
invention;вымысел
fraud;обман
deception;обман
perjury;лжесвидетельство
deceit;обман
figment;вымысел
5. gossip;5. сплетни
groundless rumour;беспочвенные слухи
hearsay;слухи
idle talk;болтовня, сплетни
prattle;болтовня
chatter;болтовня
tattle;сплетни
blabber;болтовня
twaddle;пустая болтовня
backbiting;злословие, клевета
calumny;клевета
slander;клевета, злословие
libel;клевета в печати
defamation;опорочивание
slur;очернение
unjust accusation;несправедливое обвинен
obloquy;злословие, поношение
innuendo;инсинуация
6. drivel;6. чушь, чепуха
nonsense;чушь, чепуха
ramble;бессвязная речь
foolishness;глупость
absurdity;абсурдность
stupidity;глупость
senselessness;бессмысленность
silliness;глупость
gibberish;тарабарщина
rubbish;чушь
bilge;чушь
tosh;чушь
balderdash;чушь
rot;чушь, вздор
tripe;чепуха, вздор
trash;ерунда, вздор
7. reporter;7. журналист
journalist;журналист
newsman;представитель прессы
newspaperman;корреспондент
8. magazine;8. журнал
periodical;юридическое издание
journal;журнал
weekly;еженедельник
monthly;ежемесячное издание
9. hint;9. намек
tip;намек, подсказка
suggestion;предложение, подсказка
implication;подразумеваемое
allusion;намек
insinuation;инсинуация
intimation;намек
10. communication;10. сообщение
report;сообщение, доклад
account;отчет
statement;заявление, сообщение
announcement;объявление
advertisement;реклама, объявление
declaration;заявление
telegram;телеграмма
message;сообщение
fax;факс
E-mail;электронная почта
radio message;сообщение по радио
TV-message;сообщение по телевидению
11. appendix;11. приложение
supplement;приложение, дополнение
addendum;дополнение
addition;дополнение
postscript;постскриптум
13. comment;13. комментарий
commentary;комментарий
criticism;критика
remark;замечание
observation;комментарий, замечание
annotation;аннотация
assertion;утверждение
explication;пояснение
clarification;пояснение
note;примечание
14. confidence;14. доверительность, конфиденциальность
trust;доверие, доверительность
secret;секрет
intimacy;интимность
confidential matter;секретный материал
inside information;информация для внутреннего пользования
15. concealment;15. сокрытие, умалчивание
withholding;умалчивание
secreting;засекречивание
secretion;сокрытие, укрывание
covering;укрывание
16. lull;16. молчание
quiet;молчание
brief silence;замолкание на короткое время
quiet interval;пауза молчания
pause;пауза
hush;тишина, молчание
17. conversation;17. беседа
colloquy;беседа
talk;беседа
dialogue;диалог
chat;беседа
speech;речь
talking;разговор
