1. speech;1. речь
oral communication;устное сообщение
talking;разговор
articulation;артикуляция
utterance;высказывание
pronunciation;произношение
2. expression;2. выражение
wording;формулирование мысли
speaking;высказывание
uttering;произнесение
relating;сообщение
diction;выражение мысли
elocution;дикция
3. contents;3. содержание
meaning;значение
substance;предмет
essence;суть
thought;мысль
idea;идея
matter;материал
crux;суть
gist;суть
pith;суть
main point;основная тема
core;суть
central issue;основная мысль
4. emphasis;4. ударение, подчеркиван иударение, подчеркивание
stress;акцентируемая информация
focal point;ударение, акцент
accent;логическое выделение
weight;5. термин
5. term;технические слова
technical word;техническое выражение
technical expression;обозначение
designation;научная терминология
scientific terminology;6. идиома, фразеологическое
6. idiom;выражение
phrase;фраза
proverb;пословица
byword;пословица
collocation;словосочетание
expression;выражение
7. citation;7. цитата
quotation;цитата
passage;отрывок
excerpt;выдержка, отрывок
motto;лозунг
maxim;высказывание, афоризм
slogan;лозунг
8. dialect;8. диалект
vernacular;местный говор
localism;местный говор
jargon;жаргон
slang;сленг
9.  euphemism;9. эвфемизм
10. hyperbole;10. гипербола, преувеличение
exaggeration;преувеличение
overstatement;преувеличение
figure of speech;оборот речи
metaphor;метафора
11. humour;11. юмор
jokes;шутки
wittiness;остроумие
jests;шутки
wordplay;игра слов
quirk;игра слов, каламбур
quibble;игра слов
quip;остроумное замечание
12. sarcasm;12. сарказм
ridicule;насмешка, осмеяние
derision;осмеяние
irony;ирония
scorn;презрение
mockery;насмешка, издевательство
scoffing;насмешка
cutting remark;колкость
sneer;насмешка, презрительная усмешка
taunt;насмешка, шпилька
gibe;насмешка
jeer;презрительная насмешка
13. verbiage;13. многословие
wordiness;многословие
verbosity;многословие
circumlocution;многоречивость, описательность
claptrap;трескучие фразы
prolixity;многословие, нудность
rant;громкие слова
loquacity;болтливость
harangue;разглагольствование
14. tirade;14. тирада
diatribe;резкая обличительная речь
lecture;лекция, нотация
reprimand;выговор
scolding;взбучка
dressing;нагоняй
invective;ругань, брань
15. obscenity;15. непристойность
swear words;бранные слова, ругательства
vulgarity;вульгарность
taboo word;слово-табу
rudeness;грубость, оскорбительность
