1. question;1. вопрос
query;вопрос
interview;интервью
inquiry;запрос, вопрос
inquest;дознание
asking;вопрос
2. answer;2. ответ
response;ответ
reply;ответ
acknowledgment;ответ, подтверждение
retort;ответ, реплика
rejoinder;ответ, возражение
3. confirmation;3. подтверждение
approval;одобрение
confession;признание
assent;согласие
consent;согласие
agreement;согласие
affirmation;утверждение, подтверждение
assertion;утверждение
allegation;голословное утверждение
acknowledgment;подтверждение
avowal;признание
recognition;признание, одобрение
acceptance;принятие, одобрение
approbation;одобрение
ratification;ратификация
endorsement;подтверждение
admission;допущение, принятие
4. denial;4. отрицание
negation;отрицание
rejection;отклонение
refusal;отказ
disapproval;неодобрение
objection;возражение
opposition;противодействие
disagreement;несогласие
approbation;неодобрение
reservation;оговорка
dissension;разногласие
contradiction;противоречие
remonstrance;протест
S. admission;5. принятие, допущение, предположение
assumption;предположение
presumption;предположение
supposition;предположение
hypothesis;гипотеза
6. doubt;6. сомнение
uncertainty;неуверенность
indecision;нерешительность
hesitation;колебание
question;сомнение
lack of conviction;неуверенность
suspicion;подозрение
apprehension;опасение
7. demand;7. требование
call;запрос
requirement;требование
address;обращение
appeal;обращение
entreaty;мольба, просьба
petition;петиция
supplication;мольба, просьба
solicitation;ходатайство
beseeching;мольба, просьба
request;просьба, запрос
claim;требование
8. lamentation;8. жалоба, сетования
plaint;жалоба
complaint;жалоба
moan;стон
wail;слезы,стенания
sob;рыдания
claim;рекламация
9. advice;9. совет
recommendation;рекомендация
suggestion;предложение, совет
opinion;мнение
counsel;совет
advisement;совет
guidance;совет, руководство
10. permission;10. разрешение
leave;разрешение
consent;согласие, разрешение
approval;одобрение
acquiescence;уступка, согласие
concession;уступка
agreement;согласие
sanction;санкция, разрешение
authorization;разрешение, санкция
11. prohibition;11. запрет
refusal;отказ
denial;отказ
ban;запрет
interdiction;запрет
prevention;предотвращение
obstruction;обструкция
forbidding;запрещение
12. statement;12. заявление
declaration;заявление
announcement;объявление
assertion;утверждение
allegation;голословное утверждение
claim;утверждение, заявление
13. admonition;13. замечание, предостережение, выговор
reprimand;выговор
mild reproof;порицание, укор
scolding;нагоняй
reproach;упрек
remonstrance;увещевание
rebuke;нагоняй
warning;предостережение
chiding;упреки, увещевания
criticism;критика
blame;порицание
accusation;обвинение
condemnation;осуждение
14. assurance;14. заверение
promise;обещание
pledge;обещание, обет
word of honour;честное слово
vow;обет
oath;клятва
guarantee;гарантия
warranty;гарантия
15. order;15. приказ, распоряжение
bidding;приказ
command;команда
request;требование
demand;требование
injunction;инструкции
summons;вызов (в суд), ультиматум
instruction;инструкция
16. bid;16. предложение
offer;предложение
offering;предложение
invitation;приглашение
call;приглашение, предложение
17. blame;17. вина, ответственность
responsibility;ответственность
guilt;вина
fault;вина, ошибка
culpability;вина
charge;обвинение
18. cajolery;18. лесть
blarney;лесть
blandishment;льстивые речи
flattery;лесть
fawning;лесть
sweet words;лестные слова
wheedling;выманивание лестью
inveigling;обольщение
inveiglement;обольщение
coaxing;лесть
19. comfort;19. утешение, успокоение
consolation;утешение
solace;утешение
encouragement;ободрение
reassurance;утешение
soothing;утешение
20. compliment;20. комплимент
praise;похвала
approving remark;одобрение
commendation;похвала
congratulation;поздравление
laudation;похвала
21. curse;21. проклятие, ругательство
swearing;ругань, ругательство
oath;ругательство
obscenity;непристойности
expletive;бранное выражение
cuss;проклятие
22. provocation;22. провокация
instigation;подстрекательство
fomentation;подстрекательство
irritation;раздражение
excitation;возбуждение
insult;оскорбление
offence;оскорбление
solicitation;подстрекательство
