1. invitation;1. приглашение
request for smb's presence;просьба прийти
summon;вызов
offer;предложение
solicitation;настойчивая просьба
bid;предложение
engagement;договоренность о встрече
call;призыв, вызов
date;договоренность о встрече, свидании
2.visit;2. посещение
call;пребывание, визит
stay;пребывание
sojourn;временное пребывание
meeting;встреча
3. hospitality;3. гостеприимство
welcome;теплый прием
hospitableness;гостеприимство
friendliness;дружеское отношение
warm reception;теплый прием
cordiality;сердечность
conviviality;общительность
heartiness;сердечность
warmth;теплота
geniality;доброта, радушие
sociability;общительность
kindliness;доброта
neighbourliness;добрососедство
4. greeting;4. приветствие
saluting;приветствие
welcoming;приветствие
salutation;приветствия
acclamation;приветственные возгласы
cheer;восклицание
hail;приветствие, оклик
handshake;рукопожатие
kiss;поцелуй
embrace;объятие
5. presentation;5. представление
introduction;представление
meeting of strangers;знакомство
acquaintance;знакомство
6. presence;6. присутствие
attendance;присутствие
appearance;появление
being there;присутствие
attending;присутствие
7. absence;7. отсутствие
non-attendance;отсутствие
non-presence;отсутствие
non-appearance;отсутствие
truancy;прогул
8. visitor;8. посетитель
caller;посетитель
guest;гость
company;гости
sojourner;гость
transient;временный жилец
participant;участник
9. leave-taking;9. прощание
farewell;прощание
separation;расставание
going;уход
departure;отправление
retreat;уход (уединение)
withdrawal;уход, удаление
