1. etiquette;1. этикет
decorum;этикет
rules of behaviour;правила поведения
protocol;правила поведения
behavior;поведение
conduct;поведение
civilities;вежливость
conventions;условности, правила поведения
manners;манеры, умение держать себя
politeness;вежливость
2. ethics;2. этика, мораль
moral code;моральный кодекс
moral standards;моральные нормы
rules of conduct;правила поведения
moral principles;моральные принципы
moral values;моральные ценности
morality;мораль, этика
3. good;3. добро
goodness;добродетель
merit;добродетель, хорошие качества
virtue;достоинство
worth;ценность
value;ценность
moral qualities;моральные качества
moral acts;нравственные поступки
righteousness;правидность, добродетель
4. evil;4. зло, отрицательные качества
sin;грех
wickedness;злой поступок
immorality;аморальность
wrongdoing;проступок
vice;порок
baseness;гадость
corruption;коррупция
turpitude;подлость, порочность
depravity;порочность, развращенность
iniquity;зло, несправедливость
dishonesty;нечестность
badness;негодность
meanness;подлость
5. conscience;5. совесть
moral sense;чувство добра и зла
sense of right and wrong;чувство правильности и справедливости
ethical feeling;моральные чувства
scruples;угрызения совести
principles;моральные принципы
6. honesty;6. честность
integrity;честность, неподкупность
candour;прямота, искренность
probity;честность
veracity;правдивость
word;слово (чести)
sincerity;искренность
uprightness;честность
rectitude;прямота
honour;честь
morality;высокоморальное поведение
innocence;невиновность
7. falsehood;7. лживость, ложь
lie;ложь
untruth;неправда
fabrication;фальсификация
falsification;фальсификация
lying;лживость, ложь
untruthfulness;неправдивость
dishonesty;' нечестность
falsity;лживость
deception;обман
deceit;обман
distortion;искажение
mendacity;лживость
perfidy;вероломство
hypocrisy;лицемерие
duplicity;двуличность
8. action;8. действие, поступок
act;поступок
deed;поступок
step;шаг, поступок
turn;поступок
feat;подвиг
exploit;подвиг, героический поступок
move;поступок
9. civility;9. вежливость
politeness;вежливость
courtesy;вежливость
good manners;хорошие манеры
manners;воспитанность
kindness;доброта
friendliness;дружественность
respect;уважение
10. impoliteness;10. невежливость
discourtesy;невежливость
bad manners;невоспитанность
disrespect;неуважение
unfriendliness;недружественность
rudeness;грубость
roughness;неотесанность
incivility;невежливость
11. altruism;11. альтруизм
selflessness;самоотверженность
magnanimity;великодушие
generosity;великодушие, щедрость
unselfishness;бескорыстие, неэгоистичность
12. selfishness;12. эгоизм, корыстолюбие
misanthropy;мизантропия
self-centredness;эгоизм
egoism;эгоизм
egotism;эгоизм
13. misbehaviour;13. проступок, дурное поведение
misconduct;проступок
bad behaviour;плохое поведение
impropriety;нарушение этикета
misdemeanour;проступок, преступление
lapse;упущение, проступок
dereliction;нарушение долга
offence;нарушение норм
transgression;нарушение норм
misdeed;нарушение норм
indiscretion;бестактность
delinquency;проступок, провинность
14. disgrace;14. позор, бесчестье
shame;позор
dishonour;бесчестье, позор
ignominy;бесчестье, позор
infamy;бесчестье, позор
discredit;дискредитация
reproach;упрек
blot;пятно, позор
smirch;позор
blemish;пятно, позор
stain;пятно
indignity;потеря достоинства
15. dignity;15. достоинство
dignified deportment;достойное повеление
decorum;соблюдение приличий
stateliness;величественность
proud demeanour;гордое поведение
impressiveness;внушительность, солидность
16. offence;16. оскорбление
insult;оскорбление
affront;оскорбление
disrespect;неуважение
insolence;наглость
impudence;наглость
rudeness;грубость
harm;обида, зло
abuse;оскорбление
outrage;оскорбление
indignity;унижение
humiliation;унижение
scandal;скандал
17. apology;17. извинение
expression of regret;выражения сожаления
begging pardon;извинение
acknowledgment of error;признание ошибки
excuse;извинение, оправдание
18. disservice;18. вред
hurt;обида, вред, несправедливость
harm;обида, вред
injury;обида, несправедливость
injustice;несправедливость
bad turn;плохой поступок
wrong;обида, несправедливость
19. prestige;19. престиж, репутация
fame;слава
glory;слава
celebrity;известность
renown;известность
reputation;репутация
repute;репутация
eminence;известность, знатность
distinction;известность, знатность
authority;авторитет
importance;вес, авторитет
respect;уважение
esteem;высокая оценка, уважение
regard;уважение, расположение
report;репутация, слава
good name;доброе имя
20. propriety;20. уместность
seemliness;приличие
becomingness;приличие
respectability;почтенность, приличие
correctness;корректность
decorum;внешнее приличие, пристойность
good manners;правила этикета
formality;нормы, формальности
appropriateness;уместность
suitableness;уместность
Tightness;правильность
aptitude;уместность
aptness;уместность
21. purity;21. нравственная чистота
guiltlessness;невиновность
guilelessness;простодушие
innocence;невиновность
clear conscience;чистая совесть
chastity;целомудрие
virginity;девственность
chasteness;целомудрие
decency;приличие
uprightness;порядочность
morality;высокая мораль
integrity;неподкупность
incorruptibility;неподкупность
simplicity;простота
directness;прямота
22. tact;22. тактичность
diplomacy;дипломатичность
circumspection;осмотрительность
delicacy;деликатность
discretion;благоразумие, осмотрительность
consideration;чуткость, предупредительность
sensibility;чувствительность
suavity;обходительность
23. tactlessness;23. бестактность
crudeness;грубость, неотесанность
clumsiness;неуклюжесть
awkwardness;неуклюжесть
indiscretion;неосмотрительность, невежливость
indelicacy;неделикатность
insensitivity;невосприимчивость, равнодушие
24. thank;24. благодарность
gratitude;благодарность
gratefulness;благодарность
thankfulness;благодарность
appreciation;высокая оценка
25. way;25. обычай, привычка
custom;обычай
practice;принятые нормы
habit;привычка
manner;манера
usage;привычка
behaviour;поведение
wont;обыкновение, привычка
nature;натура, нрав
26. vulgarity;26. вульгарность
bad taste;плохой вкус
tastelessness;безвкусица
coarseness;грубость
crudeness;неотесанность, грубость
grossness;вульгарность, непристойность
indecorum;непристойность
indecency;неприличие
smuttiness;непристойность
obscenity;непристойность
boorishness;неотесанность
lack of refinement;грубость
27. refinement;27. утонченность, изящество
good taste;хороший вкус
tastefulness;хороший вкус
cultivation;культурность
good breeding;хорошее воспитание
sensitivity;чувствительность
28. treachery;28. предательство
disloyalty;неверность, предательство
treason;предательство
betrayal;предательство
faithlessness;неверность
perfidy;коварство
infidelity;неверность, нарушение верности
29. faithfulness;29. верность
loyalty;верность
fidelity;верность
steadfastness;верность, непоколебимость
devotion;преданность
staunchness;стойкость
allegiance;верность, преданность
adherence;приверженность
30. adultery;30. супружеская неверность
unfaithfulness;неверность
fornication;внебрачная связь, блуд
marital infidelity;супружеская неверность
