1. relations;1. отношения, связи
connection;связь
contact;контакт
tie;связь
amity;дружеские отношения
link;связь
familiarity;дружеские отношения
bond;связь, узы
affinity;родственность, близость
intimacy;интимные отношения
2. accord;2. согласие
harmony;гармония
mutual understanding;взаимопонимание
consonance;согласие
unison;унисон
concert;согласие
unanimity;единодушие
sympathy;симпатия
rapport;согласие
3. amenity;3. любезность, приятность
politeness;вежливость
refinement;утонченность
gentility;мягкость
niceties;любезности
courtesies;любезности
4. assistance;4. помощь
help;помощь
aid;помощь
support;помощь, поддержка
service;услуга
collaboration;сотрудничество
cooperation;сотрудничество
enforcement;поддержка, подкрепление
5. confidence;5. доверие
trust;доверие
faith;вера
conviction;уверенность
reliance;доверие, уверенность, опора
6. distrust;6. недоверие
mistrust;недоверие
doubt;сомнение
misgiving;дурное предчувствие
disbelief;недоверие
apprehension;опасение
suspicion;подозрение
7. altercation;7. ссора
discord;разногласия
dispute;спор
argument;спор
controversy;противоречие
quarrel;ссора
spat;ссора
disagreement;ссора, разногласие
row;разногласие, ссора
conflict;ссора, конфликт
8. clemency;8. милосердие
charity;благотворительность
mercy;милосердие, сострадание
mercifulness;сострадание
forbearance;терпимость, снисходительность
tolerance;терпимость
magnanimity;великодушие
compassion;сострадание
sympathy;сострадание
benevolence;доброжелательность
kindness;доброта
indulgence;терпимость, снисходительность
lenience;терпимость, снисходительность
cordiality;сердечность
9. antagonism;9. враждебность
hostility;враждебность
opposition;сопротивление, оппозиция
conflict;конфликт
friction;трения, разногласия
clashing;столкновение
enmity;враждебность
feud;вражда
strife;спор, раздор
animosity;враждебность
antipathy;антипатия
hatred;ненависть
confrontation;конфронтация
10. reconciliation;10. примирение
appeasement;умиротворение
giving in;уступка
propitiation;умиротворение, успокоение
accommodation;соглашение, компромисс
compromise;компромисс
pacification;умиротворение
assuagement;успокоение
satisfaction;удовлетворение
concession;уступка
11. consideration;11. внимание, такт, обходительность
respect;уважение
tact;тактичность
kindliness;обходительность
amenity;любезность
solicitude;заботливость
cordiality;сердечность
12. familiarity;12. фамильярность
disrespect;неуважение
impertinence;наглость
undue liberty;вольности
presumption;высокомерие
intrusiveness;назойливость
unseemliness;неприличие
impropriety;нарушение приличия
13. friendship;13. дружба
acquaintanceship;знакомство
relationship of friends;дружба
fellowship;товарищество, братство
brotherhood;братство
fraternity;братство
intimacy;интимные связи, интимность,
comradeship;близость
14. furtherance;товарищество
promotion;14. поддержка, продвижение
support;содействие, продвижение
lift;поддержка
patronage;поддержка
sponsorship;покровительство
backing;спонсорство
assistance;поддержка
15. love;содействие
passion;15. любовь
affection;страсть
amorousness;любовь, привязанность
infatuation;влюбленность
devotion;увлечение
adoration;преданность
fondness;обожание
tenderness;любовь, нежность
admiration;нежность
16. marriage;восхищение
matrimony;16. брак
wedlock;брак
conjugal union;брак
nuptial state;брачный союз
17. mediation;брак
conciliation;17. посредничество, улаживание
settlement of;примирение
difficulties;улаживание
coming to terms;согласие
negotiation;переговоры
intervention;вмешательство
Pacification;умиротворение, миротворчество
peacemaking;миротворчество
compromise;компромисс
adjustment;улаживание
arbitration;арбитраж, посредничество
18. intercourse;18. половые связи
sexual relations;половые связи
copulation;соитие
coition;совокупление
coupling;спаривание
intimacy;интимные связи
sex;секс
19. obedience;19. покорность, подчинение
submissiveness;покорность
submission;подчинение
docility;послушность, послушание
obeisance;послушание
ductility;податливость, послушание
yielding;уступчивость
conformability;послушность
20. romance;20. любовная история
love affair;любовная история
relationship;любовная история
attachment;привязанность
courtship;ухаживание
flirtation;флирт
21 . vengeance;21. месть
revenge;месть
reprisal;месть
retaliation;возмездие, отплата
avenging;месть
retribution;возмездие, кара
requital;возмездие
vindictiveness;месть
