1. actor;1. актер
performer;исполнитель
dramatic artist;драматический актер
trouper;актер труппы
player;актер
extra;статист
2. stage;2. сцена
arena;арена
the footlights;рампа
3. performance;3. спектакль
show;показ, шоу
presentation;показ
rendering;постановка
production;постановка
spectacle;спектакль
4. theatre;4. театр
drama;драма
stage entertainment;сценическое искусство
show business;шоу-бизнес
house;театр
auditorium;зал
5. play;5. пьеса
drama;драма
stage play;пьеса
dramatic performance;драма
comedy;комедия
tragedy;трагедия
farce;фарс
melodrama;мелодрама
piece;пьеса
6. role;6. роль
character;роль, действующее лицо
part;роль
presentation;игра (в театре)/роли
impersonation;воплощение
7. cast;7. состав исполнителей
troupe;труппа
performers;исполнители
actors;актеры
company;труппа
players;исполнители
list of characters;состав исполнителей
8. debut;8. дебют
first appearance;первое выступление
first presentation;первое выступление
beginning;дебют, начало
9. beauty;9. красота
loveliness;красота
handsomeness;мужская красота
good looks;приятная внешность
attractiveness;привлекательность
splendour;блеск, пышность
magnificence;великолепие
10. audience;10. публика, зрители
listeners;слушатели
onlookers;зрители
spectators;зрители
house;публика, зрители
11. applause;11. аплодисменты
clapping;аплодисменты
ovation;овация
cheers;аплодисменты, одобрительные возгласы
acclaim;шумное приветствие
