1. melody;1. мелодия
tune;мелодия
air;ария, мелодия
strain;напев, мелодия
song;песня
ditty;песенка, мелодия
aria;ария
2. rhythm;2. ритм
beat;такт, отбивание такта
flow;плавность (речи, звука)
measure;такт (музыки)
pulse;ритм (ударов, музыки)
cadence;ритм
rhythmic;ритм
swing;ритм
lilt;ритм (песни)
3. tone;3. тон
pitch;высота тона
sound;звук
tonality;тональность
note;нота
intonation;интонация
modulation;модуляция
4. orchestra;4. оркестр
ensemble;ансамбль
band;оркестр
symphony orchestra;симфонический оркестр
company of musicians;группа музыкантов
5. prelude;5. прелюдия
overture;увертюра
introduction;интродукция
prologue;пролог
opening;вступление
6. keynote;6. лейтмотив
theme;тема
main idea;основная идея
gist;основное содержание
7. finale;7. финал
last part;заключительная часть
close;завершение
end;конец
epilogue;эпилог
curtain;занавес, конец
8. opus;8. опус, произведение
work;произведение
piece;пьеса
composition;композиция
creation;творение
