1. author;1. автор
writer;писатель
novelist;писатель
poet;поэт
playwright;драматург
2. story;2. рассказ
tale;рассказ
narrative;рассказ
fable;басня
sketch;зарисовка, очерк
anecdote;анекдот
plot;сюжет
novel;роман
poem;поэма
3. fiction;3. художественная литература
novel;роман
short story;рассказ
tale;рассказ
play;пьеса
prose;проза
made-up story;вымышленная история
myth;миф
4. title;4. название
name;название
designation;обозначение
appellation;название
5. genre;5. жанр
prose;проза
tragedy;трагедия
comedy;комедия
satire;сатира
poetry;поэзия
drama;драма
memoirs;мемуары
essay;очерк, эсее
folklore;фольклор
6. preface;6. предисловие
foreword;предисловие
prologue;пролог
preamble;предисловие, вступление
introduction;введение
7. episode;7. эпизод
scene;сцена
passage;отрывок
part;часть
section;раздел
chapter;глава
excerpt;отрывок
8. character;8. действующее лицо
figure;фигура
person;персонаж
personage;персонаж
role;роль
part;роль
image;образ
9. illustration;9. иллюстрация
picture;картина
figure;рисунок
drawing;рисунок
photograph;фотография
10. epilogue;10. эпилог
end;конец
final section;последний раздел
afterword;послесловие
11. pseudonym;11. псевдоним
alias;вымышленное имя, кличка
false name;вымышленное имя
nickname;кличка
12. catalogue;12. каталог
list;список
inventory;опись
index;список, указатель
directory;указатель, справочник
