1. competition;1. соревнование
contention;соперничество, состязание
struggle;борьба
rivalry;соперничество
contest;соревнование, спор
match;матч
play;игра
tournament;турнир
encounter;встреча
event;соревнование, вид спорта
game;игра
2. sport;2. спорт
athletic pastime;физкультура
physical training;физкультура
physical activity;физкультура
athletics;атлетика
recreation;активный отдых
relaxation;расслабление
entertainment;развлечение
game;игра
hobby;хобби
3. record;3. рекорд
best performance;лучший результат
top performance;лучший результат
greatest achievement;наилучшее достижение
unbeaten mark;непревзойденный результат
ultimate example;лучший результат
best rate;лучший показатель
4. victory;4. победа
triumph;триумф
success;успех
superiority;превосходство
supremacy;превосходство
ascendancy;превосходство
win;выигрыш
prize;приз
laurels;лавры
5. prize;5. приз
award;награда
trophy;трофей
medal;медаль
cup;кубок
reward;награда
citation;включение в список победителей
premium;награда
ribbon;лента
decoration;награда
laurels;лавры
crown;корона
honours;почести
6. referee;6. судья (спортивный)
umpire;судья
arbitrator;арбитр
arbiter;арбитр
judge;арбитр
7. sports team;7. команда
national team;национальная сборная
side;команда, сторона
eleven;футбольная команда
five;пятерка (в баскетболе)
combined team;сборная
8. rival;8. соперник
competitor;соперник
contestant;соперник
contender;конкурент
opponent;противник
9. spectator;9. зритель
fan;болельщик
supporter;болельщик
fanatic;фанатик
booster;горячий сторонник
stickler;ярый сторонник
10. champion;10. чемпион
title holder;обладатель титула
contest winner;победитель соревнований
victor;победитель
master;победитель
laureate;лауреат
conqueror;победитель
11. dash;11. рывок
sprint;спринт
bolt;рывок
dart;рывок
rush;рывок
throw;бросок
12. jump;12. прыжок
leap;прыжок
bound;прыжок, скачок
hop;прыжок
spring;прыжок
