1. art;1. искусство
artistic activity;артистическая деятельность
creative work;творческая работа
2. picture;2. картина
sketch;эскиз
portrait;портрет, изображение
portrayal;рисование (портрета)
paining;картина
canvas;полотно
reflection;отображение
landscape;пейзаж
drawing;рисунок
3. image;3. образ
representation;изображение
copy;копия
effigy;изображение, портрет
figure;фигура, образ
photograph;фотография
4. painter;4. художник
artist;художник
illustrator;иллюстратор
oil painter;художник, рисующий масляными красками
watercolourist;акварелист
drawer;график
old master;старый мастер
landscapist;пейзажист
miniaturist;миниатюрист
5. likeness;5. сходство
representationr;точное изображение
model;модель
rendition;изображение
resemblance;сходство
similarity;сходство
semblance;сходство
6. exposition;6. выставка
exhibition;выставка
display;выставка
exhibit;экспонирование, показ
show;выставка, показ
7. masterpiece;7. шедевр
great work of art;великое произведение искусства 
master work;шедевр
classic;классика
paragon;образец совершенства
chefd'oeuvre;шедевр
