1. work;1. работа
labour;тяжелая работа
toil;тяжелая работа
drudgery;тяжелая, нудная работа
manual labour;ручная, физическая работа
employment;работа, занятие
job;занятие
line of work;занятие
Pupation;занятие
Profession;профессия
business;занятие
vocation;призвание
trade;ремесло
calling;призвание
unction;функция
duty;обязанность
office;служба, должность
service;услуга, работа
chore;случайная работа
char;случайная работа
2. activity;2. деятельность
undertaking;деятельность, предприятие
enterprise;предприятие
function;функция
office;обязанность
venture;предприятие
occupation;занятие
endeavour;старание, деятельность
duty;обязанность
effort;усилие
service;услуга
3. employment;3. трудоустройство
work;работа
job;работа
occupation;занятие
business;занятие
4. employer;4. работодатель
boss;хозяин
business owner;владелец предприятия
proprietor;собственник
business;предприятие
firm;фирма
company;компания
establishment;учреждение
organization;организация
office;ведомство, офис
master;хозяин
5. employee;5. служащий, наемный работник
worker;рабочий, работник
wage earner;рабочий, работник
job holder;работник
staff-member;штатный работник
underling;подчиненный
6. personnel;6. персонал
employees;рабочий коллектив
workers;рабочие
staff;штат
staff members;штатные работники
work force;рабочая сила
crew;экипаж, коллектив
manpower;рабочая сила
associates;коллеги
colleagues;коллеги
7. appicant;7. претендент, кандидат
candidate;кандидат
job seeker;ищущий работу
office seeker;ищущий работу
8. application;8. заявление
request;просьба, запрос
form;формуляр
solicitation;ходатайство
9. discharge;9. увольнение
discharging;увольнение
firing;увольнение
dismissal;увольнение, отставка
release;освобождение от обязанностей
10. resume;10. трудовая биография
work history;трудовая биография
curriculum vitae;биография
biography;биография
background;образование и стаж, опыт
11. unemployed;11. безработный
jobless;безработный
workless;безработный
unoccupied;безработный
fired;уволенный
discharged;уволенный
dismissed;уволенный
sacked;уволенный
