1. agriculture;1. сельское хозяйство
fanning;фермерство, сельское хозяйство
husbandry;сельское хозяйство
crop-raising;выращивание сельхозкультуры
cultivation;возделывание земли, разведение  сельхозкультур
market gardening;выращивание растений на продажу
2. commerce;2. торговля
business;бизнес
trade;торговля
trading;торговля
traffic;торговля
buying and selling;покупка и продажа
exchange;товарообмен
barter;бартер
3. construction;3. строительство
constructing;строительство
building;строительство
erecting;сооружение
rearing;возведение, сооружение
raising;возведение
housing;строительство жилья
4. culture;4. культура
art;искусство
music and literature;музыка и литература
good taste;хороший вкус
enrichment;духовное обогащение
enlightenment;просвещение
learning;учение
erudition;эрудиция
knowledge;знания
civilization;цивилизация
level of progress;уровень развития
5. education;5. образование
schooling;обучение
teaching;обучение
training;обучение
instruction;обучение
study;изучение
knowledge;знание
mental development;умственное развитие
erudition;эрудиция
culture;культура
6. industry;6. промышленность
fabrication;изготовление
production;производство
manufacturing;изготовление
branch;отрасль
manufacture;производство
7. medicine;7. медицина
healing art;лечение
medical treatment;медицинское обслуживани
medical service;медицинское обслуживание
therapeutics;терапия
therapy;лечение
8. science;8. наука
discipline;научная дисциплина
empiric knowledge;эмпирические знания
systematic knowledge;система знаний
systematic inquiry;систематические исследования
research;исследование
9. transport;9. транспорт
conveyance;перевоз
transportation;транспортировка
shipment;отгрузка
delivery;поставка
dispatch;отправление
carrying;перевозка
sending;отправка
truckage;перевозка на грузовиках
traffic;движение транспорта
circulation;движение (транспорта)
