1. profession;1. профессия
speciality;специальность
trade;ремесло
occupation;занятие
position;должность
station;пост
rank;чин
job;работа
qualification;квалификация
line of work;вид работы
business;занятие
post;пост
2. vocation;2. призвание
calling;призвание
bent;склонность
inclination;склонность
field;поле деятельности
career;карьера
line;род деятельности
lifework;дело жизни
avocation;призвание
3. worker;3. работник, рабочий
working man;работник
workman;работник, рабочий
labourer;рабочий
toiler;рабочий
hired worker;наемный работник
employee;служащий, наемный работник
job holder;работник
artisan;ремесленник
performer;исполнитель
4. manager;4. руководитель
executive;руководитель
chief;шеф
master;хозяин
director;директор
boss;босс
supervisor;руководитель, инспектор
foreman;мастер
superior;начальник
administrators;администратор
5. doctor;5. врач
physician;врач
internist;терапевт
dentist;зубной врач
surgeon;хирург
psychiatrist;психиатр
pediatrician;педиатр
ophtalmologist;офтальмолог
therapeutist;терапевт
6. specialist;6. специалист
expert;эксперт, знаток
authority;авторитет
master;мастер
skilled hand;умелый работник
adept;знаток,специалист
7. farmer;7. фермер
agriculturist;работник сельского хозяйства
agrarian;аграрий
agronomist;агроном
grower;фермер
raiser;фермер
planter;плантатор
peasant;крестьянин
8. guard;8. сторож
sentry;часовой
watchman;сторож
guardsman;сторож
warder;охранник
bodyguard;личный охранник
guardian;охранник
custodian;сторож
9. clergyman;9. духовное лицо
priest;священник
preacher;проповедник
pastor;пастор
parson;пастор, священник
cleric;клерикал
reverend;преподобный (титул священника)
the Pope;папа Римский
bishop;епископ
10. apprentice;10. ученик
disciple;ученик
pupil;ученик
student;студент
novice;новичок
beginner;начинающий
tyro;новичок
learner;ученик
rookie;новичок
fledgling;новичок
11. promotion;11. повышение (по службе)
advancement in position;повышение
elevation;продвижение
raise;повышение
upgrading;повышение в чине
preferment;повышение (по службе)
12. rank;12. чин, ранг
position;должность
professional grade;разряд
level;уровень
qualification;квалификация
13. prostitute;13. проститутка
whore;проститутка
harlot;шлюха, проститутка
slut;проститутка
tart;проститутка
hussy;потаскуха
call girl;проститутка
fallen woman;падшая женщина
jade;шлюха
bawd;проститутка
14. experience;14. опыт, практика
practice;обучение, тренировка
training;хорошая осведомленность
familiarity;уменье
skillfulness;уменье, ремесло
craft;опытность
expertness;ловкость
handiness;уменье
skill;навыки
knack;уменье, опытность
proficiency;уменье, искусство
finesse;уменье, искусность
dexterity;проворность, ловкость
technique;техника
know-how;«ноу-хау», техника
workmanship;мастерство, искусность
15. haste;15. поспешность, спешка
speed;скорость
hurry;спешка
swiftness;быстрота
rush;спешка, суета
quickness;быстрота
celerity;скорость
hurriedness;поспешность
rapidity;стремительность
precipitation;опрометчивость
rashness;необдуманность
impulsiveness;импульсивность
impetuosity;стремительность
16. exhaustion;16. истощение, усталость
fatigue;усталость
weariness;усталость
tiredness;усталость
enervation;усталость
17. diligence;17. прилежание
intensity;интенсивность
zest;энергия, жар
zeal;усердие
application;прилежание, старание
relish;увлечение
enthusiasm;энтузиазм
industry;трудолюбие, усердие
ardour;пыл
eagerness;пыл, рвение
animation;воодушевление
vehemence;сила, горячность
perseverance;настойчивость, упорство
persistence;настойчивость
effort;усилие
exertion;напряжение, усилие
dedication;самоотверженность
assiduity;усидчивость, усердие
