1. tool;1. инструмент
handheld instrumen;ручной инструмент
implement;инструмент, инвентарь
gadget;устройство
device;устройство, прибор
utensil;утварь, принадлежность
contrivance;приспособление
appliance;приспособление, прибор
kit;комплект инструментов
mechanism;механизм
apparatus;аппарат, прибор
gear;механизм, приспособление
2. equipment;2. оборудование
gear;приспособление
rig;оснастка
outfitting;оснастка
outfit;оснастка
equipage;принадлежности, оборудование
machinery;станочное оборудование
machine tool;станок
3. detail;3. деталь
part;деталь
spare part;запчасть
piece;деталь
component;компонент
item;позиция, деталь
4. bracket;4. кронштейн, опора
support;суппорт
brace;скоба, подпорка
stay;опора
strut;стойка, распорка
prop;подпорка
truss;ферма
column;колонна
5. clamp;5. зажим
clip;зажим
clasp;зажим
grip;зажим
gripe;тиски, зажим
vice;тиски
crampon;захват
jig;зажимное приспособление
fixture;зажим, крепление
6. handle;6. ручка
hold;опора, державка
hilt;ручка
knob;ручка
griP;ручка, рукоятка
shaft;ручка, черенок
shank;хвостовик (инструмент)
7. hinge;7. шарнир
hinged joint;шарнирное соединение
pivot;точка вращения
8. cover;8. крышка
lid;крышка
top;верх
cap;крышка, головка, насадка
9. hook;9. крючок, крюк
grapple;крюк, захват
grapnel;крюк, кошка
gaff;багор, крюк
crook;крючок
10. plug;10. пробка
stopper;пробка
cork;пробка
bung;пробка, затычка
tap;пробка, затычка
11. wire;11. проволока, провод
metal thread;проволока
strand;стренга(кабеля)
cable;кабель
filament;волосок
string;струна
12. string;12. веревка
cord;веревка
thread;нить
rope;канат
lace;бечевка
twine;шнурок
line;леска, шнур, веревка
