1. result;1. результат
outcome;исход
effect;результат, следствие
fruit;плоды
issue;результат
sequel;последствия
achievement;достижение
accomplishment;свершение
realization;реализация
execution;выполнение
attainment;достижение
fulfillment;выполнение
success;успех
carrying out;выполнение
2. Production;2. производство
making;изготовление
manufacture;изготовление
fabrication;изготовление
output;выпуск, производство
producing;производство
3. improvement;3. улучшение
betterment;улучшение, исправление
progress;процесс, улучшение
upswing;подъем
gain;увеличение, прирост
boom;бум,подъем
amendment;исправление, поправка
correction;коррекция
increase;рост, повышение
4. failure;4. провал, неудача
vain attempt;напрасная попытка
ill success;неудача
nonfulfilment;невыполнение
washout;неудача
frustration;расстройство планов
bad luck;неудача
5. decrease;5. снижение, спад
depression;депрессия
economic decline;экономический спад
recession;спад
6. losses;6. потери, убытки
expenditure;расход
amount lost;величина убытков
expense;расход
deficit;нехватка, недочет
detriment;ущерб
7. profit;7. прибыль
gain;прибыль
return;доход
income;доход
revenue;годовой доход
earnings;заработок, прибыль
proceeds;выручка, доход
receipts;приход
