1. operation;1. операция, действие
action;действие
performance;выполнение
activity;деятельность
procedure;процедура
process;процесс
act;действие, акт
move;поступок, действие
step;шаг, операция
2. preparation;2. подготовка
preparing;подготовка
readying;подготовка
measure;мера
arrangement;приготовление, мера
provision;мера
3. regulation;3. регулирование
adjustment;регулировка
fixing;налаживание
alteration;изменение
variation;изменение
adaptation;подгонка
4. repair;4. ремонт
redress;исправление
fixing;ремонт
Patching;латание
overhaul;капитальный ремонт
maintenance;уход
reconditioning;ремонт
5. treatment;5. обработка
process;процесс
procedure;процесс
operation;операция
working;обработка
machining;станочная обработка
6. separation;6. разделение, отделение, отсоединение
cutting;разрезание
division;разделение
detachment;отсоединение
dismantling;демонтаж, разборка
disconnection;отсоединение
disengagement;разделение, отсоединение
disjunction;разделение, рассоединение
7. assemblage;7. сборка, монтаж
mounting;монтаж
erection;возведение
installation;установка, сборка
fitting;сборка, монтаж
8. transportation;8. транспортировка
shipment;отгрузка
delivery;постановка
dispatch;отправление
conveyance;перевозка, транспортировка
9. accumulation;9. накопление
gathering;собирание
collecting;собирание
amassing;накопление
acquirement;приобретение
acquisition;приобретение
10. combustion;10. сжигание
burning;сжигание
ignition;зажигание
incineration;сжигание
conflagration;возгорание
firing;сжигание топлива, отопление
11. arrangement;11. размещение
ordering;приведение в порядок
distribution;распределение
disposal;размещение
placement;размещение, помещение
positioning;позиционирование
12. amplification;12. расширение
expansion;расширение
extension;расширение, удлинение
widening;расширение
broadening;расширение
enlargement;расширение, увеличение
13. constriction;13. сужение, сжатие
compression;сжатие
contraction;сжатие
narrowing;сужение
squeezing;сжатие
shrinking;сокращение
14. conservation;14. консервация
preservation;консервация
safekeeping;сохранение
protection;защита
maintenance;уход, содержание
upkeep;уход, содержание
