1. foundation;1. основание
establishment;образование
setting up;создание
creation;создание
institution;установление, учреждение
organization;организация
2. discipline;2. дисциплина
rigour;строгость
regulation;положение, регламент
regimentation;строгая дисциплина
order;порядок
control;управление, контроль
3. department;3. отдел, департамент
division;подразделение
bureau;бюро
section;секция
unit;подразделение
branch;филиал
4. responsibilit;4. ответственность
duty;обязанность
function;функция
obligation;обязательство
liability;ответственность
accountability;отчетность, ответственность
answerability;ответственность
task;задание
charge;обязанности, ответственность
5. management;5. руководство, управление
administration;управление
direction;дирекция
guidance;руководство
command;команда
control;управление
conducting;управление, руководство
6. plan;6. план
strategy;стратегия
program;программа
project;проект
conception;концепция
7. inferior;7. подчиненный (по службе)
assistant;помощник
dependent;подчиненный
help;помощник
underling;мелкий чиновник
junior;подчиненный
8. wage;8. зарплата рабочего
salary;зарплата служащего, оклад
remuneration;оплата, зарплата
earnings;заработок
income;доход
fee;гонорар, вознаграждение
recompense;вознаграждение
pay;зарплата
livelihood;средства к существованию
pittance;жалкие гроши
dole;пособие по безработице
reward;вознаграждение (плата)
consideration;вознаграждение
