1. arrival;1. прибытие
arriving;прибытие
coming;прибытие
appearance;появление
approach;приближение
entrance;вход
2. departure;2. отправление
leaving;отправление, уход
going;уход
exit;уход
3. journey;3. путешествие, поездка
tour;турне, путешествие
route;маршрут
way;путь, дорога
cruise;морское путешествие
voyage;морское путешествие, полет
flight;полет
4. luggage;4. багаж
baggage;багаж
goods;багаж
bags;сумки, багаж
suitcases;чемоданы
trunks;чемоданы
5. porter;5. носильщик
baggage-man;носильщик
redcap;носильщик
carrier;носильщик
6. coach;6. вагон
railroad car;вагон
train carriage;вагон
waggon;вагон
van;багажный/товарный вагон
7. farewell;7. расставание, прощание
departing;отправление
departure;отправление
leave-taking;отправление
good-bye;прощание
parting;расставание, отъезд 
