1. car;1. автомобиль
motorcar;автомобиль
automobile;автомобиль
machine;машина
vehicle;средство транспорта
wheels;автомобиль
truck;грузовик
lorry;грузовик
2. highway;2. автострада
speedway;скоростная трасса
main road;главная магистраль
state highway;государственная автострада
main artery;главная артерия
four-lane road;четырехполосная дорога
paved road;асфальтированная дорога
3. fuel;3. топливо
petrol;бензин
gasoline;бензин
gas;бензин
combustible;горючее, топливо
benzine;бензин
4. jam;4. пробка, затор
congestion;затор, пробка
obstruction;затор, пробка
bottle neck;пробка (на дороге)
throng;скопление, наплыв
5. freight;5. груз, фрахт
load;груз
cargo;груз
charge;нагрузка, загрузка
goods;груз, товар
lading;груз, фрахт
6. destination;6. назначение, цель
journey's end;конец поездки
goal;цель
aim;цель
targer;цель
end;конец (пути), цель
7. dash;7. стремительное движение
dart;быстрое движение
race;гонка, быстрая езда
bolt;езда на высокой скорости
speeding;превышение скорости
8. accident;8. авария
collision;столкновение
crash;столкновение
impact;врезание
clash;столкновение
bump;столкновение
