1. ship;1. корабль
vessel;судно
craft;судно
steamship;пароход
liner;лайнер
yacht;яхта
sailing ship;парусное судно
cargo ship;сухогруз
tanker;танкер
motor ship;теплоход
2. wharf;2. пристань
pier;пирс
dock;док
quay;набережная, причал
landing;причал
3. port;3. порт
seaport;морской порт
harbour;гавань
wharf;пристань
quay;причал, набережная
anchorage;причал
haven;гавань
destination;место назначения
4. crew;4. экипаж
work force;рабочая сила
sailors;моряки
hands;экипаж
complement;личный состав (корабля)
seamen;моряки, матросы
mariners;моряки
5. voyage;5. морское путешествие, плавание
seajourney;морское путешествие
cruise;круиз
ocean trip;океанское плавание
crossing;пересечение моря, океана
6. captain;6. капитан (судна)
commander;командир, капитан
master;капитан судна
skipper;шкипер, капитан (торгового) судна
