1. hotel;1. отель, гостиница
inn;гостиница
hostel;общежитие
motel;мотель
lodging;снимаемая комната
2. restaurant;2. ресторан
cafe;кафе
dining room;столовая
lunchroom;закусочная
snackbar;закусочная
cafeteria;кафетерий, закусочная
3. market;3. рынок
marketplace;рынок
wholesale market;оптовый рынок
meat market;мясной рынок
4. club;4. клуб
society;общество
league;лига
association;ассоциация
union;союз
5. monument;5. монумент, памятник
memorial;мемориал
tombstone;могильная плита
obelisk;обелиск
6. sight;6. достопримечательность
place of interest;достопримечательность
historic place;историческое место
7. exposition;7. выставка
exhibition;выставка
display;выставка, показ
show;показ
public presentation;презентация
demonstration;демонстрация
8. church;8. церковь
chapel;часовня
temple;храм
cathedral;собор
basilica;базилика
mosque;мечеть
synagogue;синагога
9. cemetery;9. кладбище
graveyard;кладбище
burial ground;кладбище
church yard;кладбище
10. tomb;10. могила
grave;могила
mausoleum;мавзолей
crypt;склеп
family vault;фамильный склеп
shrine;гробница
11. tower;11. башня
belfty;колокольня, башня
column;колонна
spire;шпиль
steeple;шпиль
bell tower;колокольня
turret;башенка
skyscraper;небоскреб
clock tower;часовая башня
