1. shop;1. магазин
store;магазин
retail store;магазин
supermarket;универсам
department stores;универмаг
emporium;торговый центр
stall;ларек
stand;ларек
kiosk;киоск
2. trade;2. торговля
commerce;торговля
business;торговля, бизнес
realization;реализация
traffic;торговля
distribution;продажа
trading;торговля
purchase;покупка
buying;покупка
selling;продажа
sale;продажа
disposal;сбыт
exchange;товарообмен
3. goods;3. товары
merchandise;товар
stock;склад товаров
wares;товары
articles of trade ;предметы торговли
commodities;товары
inventory;товары
4. seller;4. продавец
vender;продавец
dealer;дилер, продавец
retailer;розничный торговец
wholesaler;оптовик
storekeeper;лавочник, владелец магазина
tradesman;торговец
salesman;торговец
5. buyer;5. покупатель
purchaser;покупатель
shopper;покупатель
client;клиент
customer;клиент
consumer;потребитель
user;пользователь
6. price;6. цена
cost;стоимость
face value;номинальная стоимости
charge;стоимость, расценка
fee;плата
selling price;продажная цена
current price;действующая цена
market value;рыночная стоимость
retail price;розничная цена
wholesale price;оптовая цена
value;стоимость
par value;номинальная стоимость
7. supply;7. предложение, снабжение
furnishing;поставка, снабжение
providing;снабжение
distribution;распределение
8. demand;8. спрос
need;потребность
requirement;потребность, нужда
want;необходимость, потребность
9. service;9. услуга
accommodation;удобства
facility;услуги, удобства
utilities;коммунальные услуги
convenience;удобство
attendance;обслуживание, услуги
waiting;обслуживание
treatment;обслуживание, лечение
shop;салон
workshop;мастерская
10. label;10. ярлык, бирка
tag;ярлык, этикетка
ticket;бирка
slip;талон, бирка
tally;бирка, этикетка
11. bill;11. счет
invoice;счет, фактура
account;счет, расчет
chit;счет для оплаты
charge;счет для оплаты
fee;гонорар, плата
reckoning;счет (особенно в гостинице)
tally;квитанция
receipt;квитанция
