1. state;1. государство
nation;нация
republic;республика
country;страна
land;страна
kingdom;королевство
monarchy;монархия
2. border;2. граница
frontier;граница
boundary;граница
boundary line;граница
bounds;рубежи
demarcation;разграничение, демаркация
confines;рубежи
3. flag;3. флаг
banner;знамя
standard;флаг, знамя
stars and stripes;американский флаг
union jack;английский флаг
ensign;знамя, флаг
streamer;вымпел
4. emblem;4. герб
symbol;символ
badge;значок
sign;знак, символ
5. capital;5. столица
chief city;главный город
center /centre;центр
seat of government;правительственный город
6. territory;6. территория
area;площадь
region;регион
land;земля, суша
