1. people;1. народ
citizens;граждане
inhabitants;жители
population;население
populace;население
masses;народные массы
majority;большинство
minority;меньшинство
2. fatherland;2. Отечество
motherland;родина
homeland;родная страна
native land;родина
native country;родина
birth place;место рождения
3. history;3. история
national events;исторические события
Political changes;политические изменения
major events;крупнейшие события
past;интересное прошлое
4. custom;4. обычай
usage;обычай
habit;привычка
Practice;установившиеся нормы
convention;обычай, условность
traditions;традиции
5. glory;5. слава
fame;слава
prestige;престиж
grandeur;величие
renown;слава
kudos;слава
6. confession;6. вероисповедание
religion;религия
belief in God;вера в бога
faith;вера
belief;вера
godliness;набожность
piety;набожность
spirituality;духовность
religiousness;религиозность
worship;культ, поклонение
theology;теология
creed;вера
7. pastor;7. пастор
priest;священник
minister;священник
preacher;прЪповедник
parson;пастор, священник
clergyman;священник
8. prayer;8. молитва
worship;поклонение
litany;молебствование
sermon;проповедь
orison;молитва
9. hero;9. герой
legendary person;легендарная личность
great man;великий человек
valorous man;храбрый человек
man of courage;храбрый человек
fearless fighter;храбрый борец
intrepid warrior;бесстрашный воин
10. laurels;10. лавры (слава)
glory;слава
fame;слава
renown;известность
honour;почести
reward;награда
kudos;слава
distinction;знаки отличия
popularity;популярность
recognition;признание
celebrity;слава
11. funeral;11. похороны
rites;похоронный ритуал
obsequies;похороны
burial;похороны
entombment;захоронение
cremation;кремация
