1. class;1. класс
social stratum;социальный слой
social rank;социальный ранг
station;общественное положение
status;статус
position;положение
conditions;условия
sphere;сфера
group;группа
standing;положение
2. aristocracy;2. аристократия
nobility;дворянство
peerage;знать, пэры
upper class;высшее сословие
high society;высшее общество
elite;элита
3. pauper;3. бедняк
poor person;бедняк
unemployed;безработный
indigent;нуждающийся
vagabond;бродяга
beggar;нищий
rabble;чернь
almsman;нищий
mendicant;нищий
drags;отбросы общества
4. capitalist;4. капиталист
financier;финансист
bourgeois;буржуа
tycoon;промышленный магнат
employer;работодатель
boss;хозяин
proprietor;собственник
business owner;владелец предприятия
businessman;бизнесмен
firm owner;владелец фирмы
master;хозяин
employer;работодатель
5. employee;5. наемный работник, служащий
worker;рабочий, работник
wage earner;рабочий
job holder;наемный работник
staff member;штатный работник
underling;подчиненный
inferior;подчиненный
6. prosperity;6. процветание
success;успех
well-being;благосостояние
material comfort;материальная обеспеченность
ease;отсутствие материальных затруднений
prosperousness;процветание
wealth;богатство
bounty;изобилие
pomp;помпезность, пышность
luxury;роскошь
abundance;изобилие
plenty;достаток
welfare;благосостояние
7. privation;7. нужда
need;нужда
neediness;лишение, нужда
want;нужда
lack;нехватка
poverty;бедность
impoverishment;обеднение
indigence;нужда, бедность
penury;бедность, нужда
pauperism;бедность
exigency;острая необходимость
squalor;нищета, убожество
8. title;8. титул, звание
rank;ранг
position;положение
peer;пэр
title of nobility;дворянский титул
lord rank;дворянский сан
nobilty;знатность
lord;лорд
9. decoration;9. знак, отличие, награда
medal;медаль
award;награда
ribbon;лента
laurels;почести, лавры
10. reputation;10. репутация
repute;репутация
prestige;престиж
good name;доброе имя
fame;слава
renown;известность
celebrity;известность
11. estate;11. имущество
real estate;недвижимость
assets;имущество, авуары
wealth;богатство
money;деньги
property;собственность
material possessions;материальные богатства
belongings;имущество
holdings;вклады, акции
goods;товары, имущество
chattel;движимое имущество
share;акция
inheritance;наследство
