1. law;1. закон
system of laws;свод законов
collection of rules;сборник правил
code;кодекс
justice;справедливость
legality;законность
equity;справедливость
orderliness;дисциплинированность, законопослушность
legitimacy;законность
2. observance;2. соблюдение
obeying;подчинение
following;следование (чему-то)
compliance;соответствие
adherence;придерживание, соблюдение
observation;соблюдение
3. violation;3. нарушение
breach;нарушение
infringement;нарушение
infraction;нарушение
transgression;преступление (закона)
non-observance;несоблюдение
abuse;злоупотребление
contravention;нарушение
crime;преступление
4. right;4. право
just claim;справедливая претензия
legal title;законное право
legal claim;право
privilege;привилегия
prerogative;исключительное право
license;право, лицензия
permission;разрешение
sanction;санкция
authorization;разрешение
5. duty;5. обязанность
obligation;обязанность, обязательство
responsibility;ответственность
liability;ответственность
commitment;обязательство
accountability;подотчетность
answerability;ответственность
6. injustice;6. несправедливость
iniquity;несправедливость
unfairness;несправедливость
dishonesty;нечестность
violation of one's rights;нарушение прав
unjustness;несправедливость
7. crime;7. преступление
unlawful act;незаконное действие
violation of law;нарушение закона
elony;уголовное преступление
malfeasance;злодеяние, должностное преступление
misdemeanour;преступление
delinquency;правонарушение
outrage;грубое нарушение закона
enormity;чудовищное преступление
8. criminal;8. преступник
guilty;виновный
convicted of crime;осужденный
culprit;преступник
law breaker;нарушитель закона
outlaw;преступник
felon;уголовный преступник
delinquent;преступник
transgressor;нарушитель
offender;нарушитель закона
malefactor;преступник
wrongdoer;нарушитель
convict;осужденный
9. larceny;9. воровство
stealing;воровство
theft;кража
robbery;грабеж
burglary;кража со взломом
pilferage;мелкая кража
looting;ограбление
sacking;разграбление
depredation;ограбление
housebreaking;кража (квартирная)
10. violence;10. насилие
physical force;физическое насилие
brutality;жестокость
bestiality;зверство
ferocity;жестокость
outrage;насилие, оскорбление
11. homicide;11. убийство
murder;убийство
manslaughter;убийство
slaying;убийство
bloodshed;кровопролитие
killing;убийство
12. murderer;12. убийца
slayer;убийца
killer;убийца
butcher;убийца
manslayer;убийца
homicide;убийца
ruffian;бандит, головорез
13.thief;13. вор
robber;грабитель, разбойник
gangster;бандит
bandit;бандит
racketeer;рэкет
filcher;мелкий воришка
pilferer;воришка
pickpocket;карманный вор
shoplifter;грабитель магазинов
housebreaker;квартирный вор
marauder;мародер
14. investigation;14. расследование
inquiry;расследование
thorough examination;тщательное изучение
search;исследование, расследование
scrutiny;внимательное рассмотрение, расследование
fact-finding;поиск фактов
evidence-finding!;поиск улик
exhibit;доказательство
15. forgery;15. подделка
fraudulent imitation;подделка
falsification;фальсификация
counterfeiting;подделка
fraudulence;обман, подделка
16. guilt;16. вина
guiltiness;виновность
criminality;криминальность, преступность
culpability;виновность
transgression;нарушение
delinquency;правонарушение
17. court of justice;17. суд
court of law;суд
bench;суд/судьи
bar;суд/адвокатура
18. trial;18. судебное разбирательство, процесс
court case;судебное дело
litigation;судебный процесс
lawsuit;судебный процесс, тяжба
hearing;слушание дела
judicial contest;судебное дело
19. witness;19. свидетель
eyewitness;очевидец
onlooker;наблюдатель
20. detention;20. задержание, заключение
confinement;заключение
imprisonment;помещение в тюрьму
duress;лишение свободы
custody;содержание под стражей
incarceration;заключение в тюрьму
fetter;наручники
manacle;наручники
21. bribe;21. взятка, подкуп
payoff;взятка
hush money;взятка за молчание
illegal gift;вещественная взятка
graft;взятка
inducement;приманка, взятка
grease;взятка
22. accusation;22. обвинение
charge;обвинение
incrimination;инкриминирование
imputation;обвинение
indictment;обвинительный акт
citation;вызов в суд
conviction;признание виновным
23. contraband;23. контрабанда
illegal imports;незаконный ввоз
illegal exports;незаконный вывоз
smuggled goods;контрабанда
24. advocate;24. адвокат
lawyer;юрист
attorney;юрист, прокурор
barrister;адвокат
solicitor;юрисконсульт
2. confession;25. признание вины
declaration;признание, заявление
avowal;признание
delation;откровение, раскрытие
disclosure;разоблачение, раскрытие
26. blackmail;26. шантаж, вымогательство
extortion;вымогательство
payoff;подкуп, взятка
compulsion;принуждение
pressure;давление
coercion;принуждение
duress;принуждение
constraint;принуждение
27. concealment;27. скрывание, утаивание
hiding;прятанье
covering;укрывание, покрывание
withholding;умалчивание
secretion;сокрытие, утаивание
secreting;утаивание
28. punishment;28. наказание
penalty;наказание
penance;наказание, кара
fine;штраф
confiscation;конфискация
forfeit;конфискация
castigation;наказание
29. absolution;29. оправдание
amnesty;амнистия
forgiveness;прошение
vindication;оправдание
quittance;освобождение (от оплаты)
exculpation;оправдание, реабилитация
rehabilitation;реабилитация
acquittal;оправдание (в суде)
30. confederate;30. соучастник (преступления)
accomplice;соучастник
consort;соучастник
accessary;соучастник
associate;соучастник
31. innocence;31. невиновность
guiltlessness;невиновность
inculpability;безупречность
blamelessness;безупречность
impeccability;безгрешность
clean hands;чистые руки
statelessness;незапятнанность
spotlessness;незапятнанность
incorruptibility;неподкупность
32. jail;32. тюрьма
prison;тюрьма
penal institution;исправительное заведение
penitentiary;каторжная тюрьма
detention house;тюрьма
33. plaint;33. иск, жалоба
complaint;жалоба
charge;обвинение
accusation;обвинение
plea;жалоба, прошение в суд
34. validity;34. действительность, законность
legality;законность
legal force;юридическая сила
legitimacy;законность
power;полномочие
properness;законность, надлежащий уровень
35. document;35. документ
official paper;официальная бумага
record;официальный документ
certificate;сертификат, справка
legal form;документ
36. stamp;36. штамп
seal;печать
signature;подпись
endorsement;подтверждение, подпись
certification;удостоверение
validation;легализация, утверждение
37. verdict;37. приговор
sentence;судебный приговор
decision;решение
determination;решение
adjudication;решение
arbitration;решение суда
